sid,FS_headline_cert,FS_headline_lcb,FS_matched_cert,FS_matched_lcb,BOX250_cert,BOX250_lcb,BOX250_ucb,BOX250_width,BOX500_cert,BOX500_lcb,BOX500_ucb,BOX500_width,BOX1000_cert,BOX1000_lcb,BOX1000_ucb,BOX1000_width,BOX2000_cert,BOX2000_lcb,BOX2000_ucb,BOX2000_width
officehome_convnext_frozen__split00__seed0,1,0.11683703493951515,1,0.11609460096464408,1,0.1857086217486287,0.1772725954390151,0.15421059297003759,1,0.19826402371508242,0.17290529100331523,0.10893850333637298,1,0.2028006930041977,0.17154368903141162,0.07686401731244498,1,0.20910225430045495,0.17006181643700577,0.05397208718657026
officehome_convnext_frozen__split00__seed1,1,0.13460520508981247,1,0.13381364319736955,1,0.20428778932204802,0.18467650839240068,0.15394318536295698,1,0.2155627919136227,0.18375024242987192,0.10885037822508693,1,0.22149735329209203,0.18327392190573866,0.07661338679530814,1,0.2232121744977965,0.18209670573213424,0.05412333852434734
officehome_convnext_frozen__split00__seed2,1,0.11497677431256077,1,0.11423979364648215,1,0.25283054091130447,0.19817155192440694,0.15321122499083656,1,0.2520905651296654,0.1970378424941696,0.10937128899855052,1,0.2607632842687176,0.1957271607922817,0.07658550425563189,1,0.2596892391416418,0.19609686882294547,0.05408174428484371
officehome_convnext_frozen__split00__seed3,1,0.1572698497451101,1,0.15642241264650908,1,0.24004080607052064,0.19760030699221903,0.15188789568723085,1,0.2491819302394949,0.19566986328955133,0.10941247530531814,1,0.2587496379484695,0.19482466501614498,0.07651924290750904,1,0.2622141471200729,0.1942693708405938,0.054041436558506385
officehome_convnext_frozen__split00__seed4,1,0.12991330551161964,1,0.12913422218763773,1,0.19185861026332213,0.16615340267996503,0.15384977634264632,1,0.19573952624825858,0.1653273575836844,0.10933203302009474,1,0.19815322816147646,0.16513821641286194,0.07711175864297448,1,0.2050310018500547,0.1619503890346945,0.05410358953137974
officehome_convnext_frozen__split01__seed0,1,0.10623341423079379,1,0.10552710395613989,1,0.15634370804906383,0.179258788845564,0.1531508298726608,1,0.15926447716726153,0.1782599036952526,0.10914142217543436,1,0.16326178798916816,0.17668732920280794,0.07716871111265983,1,0.16627451369314383,0.1763423045744657,0.05441375093854478
officehome_convnext_frozen__split01__seed1,1,0.14131279362267224,1,0.14050873795680974,1,0.2013462886964344,0.18915926450441495,0.1546995176783935,1,0.2092202259216056,0.18937733086174008,0.10951779294055983,1,0.21012302843059788,0.18876859143578417,0.0771315734409225,1,0.21172299863231916,0.1885587218846369,0.053989539342972355
officehome_convnext_frozen__split01__seed2,1,0.02816656485859555,1,0.0278031115791366,1,0.16043871530773315,0.19680591356693422,0.1534065530757266,1,0.1659092653473695,0.1977159500673364,0.1091891026074302,1,0.16901086550338668,0.19871745717972764,0.07625648654083586,1,0.17136671618431465,0.1952136660827717,0.05425772825982126
officehome_convnext_frozen__split01__seed3,1,0.10806228711368113,1,0.10735034510945526,1,0.19373024801575545,0.19865193997968497,0.1544838682348772,1,0.21329614151256326,0.19924008053117415,0.1089333631841004,1,0.2145500806064498,0.19898986046761657,0.07661458497155935,1,0.21535323413103785,0.1979919045952912,0.05437745960491162
officehome_convnext_frozen__split01__seed4,1,0.020936709003740367,1,0.020626193768828786,1,0.14066332670247736,0.18840365658629787,0.15427014494881697,1,0.14902733966662707,0.1826565471368486,0.10858813926926736,1,0.14774134432678887,0.18166611891429535,0.07696940620488119,1,0.15729025051127898,0.17746431559026477,0.054076838065754765
officehome_convnext_frozen__split02__seed0,1,0.1336659499514453,1,0.13287685925735782,1,0.2071115866150498,0.16306698058832014,0.15342184735274778,1,0.2145003202457562,0.19950830881858467,0.108089094462372,1,0.20528547950369458,0.16049233042532476,0.07700254009613225,1,0.21490684904459995,0.19886455393520855,0.05415519550238028
officehome_convnext_frozen__split02__seed1,1,0.15821902190767984,1,0.157369391581831,1,0.19368179174668845,0.19196844596834803,0.15532196646914198,1,0.2013456423057837,0.19086330354296235,0.10864744347869307,1,0.2023230863429975,0.18867361466734328,0.07681745666901602,1,0.20780178113639394,0.18821402846504467,0.05413019543895144
officehome_convnext_frozen__split02__seed2,1,0.11219023283825894,1,0.11146153982490255,1,0.1843318523300497,0.16887982701718093,0.1550625025548285,1,0.1952735379398554,0.1670226143028602,0.10894483927704712,1,0.19363136282791824,0.1998118914411522,0.07668617477937469,1,0.24725847786876445,0.19922258451091113,0.0540931609549741
officehome_convnext_frozen__split02__seed3,1,0.1430775240247859,1,0.14226425431470047,1,0.23200809914856557,0.1962304019890369,0.15360638613255093,1,0.2466105365048079,0.1955413417098335,0.1082368869543537,1,0.24806597627702848,0.196025406520628,0.0770953080517641,1,0.2441133789879974,0.19580633942116055,0.05415224589646132
officehome_convnext_frozen__split02__seed4,1,0.1242978465771675,1,0.11516693662367473,1,0.1806966761010732,0.17689124194152092,0.15449154353903233,1,0.18250312306633018,0.17653312621491507,0.10878654850084135,1,0.18297973336834036,0.17573642496268696,0.07696167282565974,1,0.18815339623866734,0.17327763798049306,0.0542396408823877
officehome_convnext_frozen__split03__seed0,1,0.10793176555089702,0,0.0,1,0.18584839773631512,0.17012654873977018,0.15336964717683818,1,0.18425506348806175,0.17108743335225957,0.10913274699513112,1,0.19254179499910565,0.1698382141679047,0.07700364174543525,1,0.19813162865045922,0.16782324442396057,0.054267164177849166
officehome_convnext_frozen__split03__seed1,0,0.0,0,0.0,0,0.0,nan,0.15362701669172307,0,0.0,nan,0.10913756634881804,0,0.0,nan,0.0769298468489713,0,0.0,nan,0.054265530231181164
officehome_convnext_frozen__split03__seed2,0,0.0,0,0.0,1,0.20309890561830668,0.19553896669016982,0.15390154717037413,1,0.20045867029969366,0.19353206177237997,0.10856781718906117,1,0.20555920935843208,0.19291204807679768,0.07701269679849058,1,0.2086750755732492,0.19161733024474004,0.05428045738173286
officehome_convnext_frozen__split03__seed3,0,0.0,0,0.0,1,0.16233757876955987,0.1983424103907247,0.15305735715328356,1,0.17474377647547726,0.19318531920770649,0.10862017523185621,1,0.18077066827482036,0.19113749458167556,0.07651006076001132,1,0.18189368900037967,0.19062922423806755,0.05413757696547917
officehome_convnext_frozen__split03__seed4,1,0.04457359630628431,1,0.04411803564045075,1,0.15978640745288222,0.19801308795971603,0.15419262167947245,1,0.17879994200386864,0.1897365628844232,0.10891015700453195,1,0.18271996193578663,0.18791039729268513,0.0770076982213665,1,0.19006422789872807,0.1858636810752701,0.054134604334791704
officehome_convnext_frozen__split04__seed0,1,0.015978847341746216,1,0.015706795526302348,1,0.19432081114322686,0.19702307752228346,0.15096701370101437,1,0.20240402592881368,0.19271107741867768,0.10907176855945973,1,0.21267411995704358,0.18790790322273143,0.07667129723205351,1,0.21099690842980043,0.18793358403112914,0.054163383666122424
officehome_convnext_frozen__split04__seed1,1,0.1293900100405606,1,0.1286057028669416,1,0.19151148955406552,0.17011667843596462,0.15564338765857033,1,0.19730890266652218,0.16711085929372632,0.10878995801755463,1,0.20150799110973006,0.16639078446194494,0.07670048136879301,1,0.2056264914712071,0.16637273005081138,0.05425530882856692
officehome_convnext_frozen__split04__seed2,1,0.10384603611889147,1,0.10313709125015101,1,0.20476702002401825,0.17640202947648048,0.1548176612721361,1,0.2109961853650334,0.17457217333128566,0.10874329188135738,1,0.20811505581901735,0.1730883181753134,0.07662405212960703,1,0.21261856668350482,0.17277508568717026,0.05416025649349061
officehome_convnext_frozen__split04__seed3,1,0.10290767670838197,1,0.10220173871875889,1,0.1803317518840802,0.18679907952781669,0.1536156358424022,1,0.19166230699275696,0.1991516237778181,0.10821691005084233,1,0.1936520013804881,0.19827659154684396,0.07644845272872722,1,0.19733745505553962,0.19672987162461505,0.05400922230316975
officehome_convnext_frozen__split04__seed4,1,0.111373923804187,1,0.1078229415787826,1,0.19182475158416146,0.19113064457799667,0.15321497968196737,1,0.19925967083095147,0.185451881713986,0.1079940268725543,1,0.21273111971539999,0.18459730802893376,0.07677173795608994,1,0.21320518005308994,0.1850720548044114,0.0538228806128116
officehome_convnext_frozen__split05__seed0,1,0.10914256697982895,1,0.10841808262860336,1,0.18182238191010755,0.1754001576317757,0.15541940500291887,1,0.18601705944650865,0.17057882239738126,0.10894493578748926,1,0.19188844909654929,0.16705103289724843,0.07651890479812007,1,0.19253648395378076,0.16737232087939644,0.0541412184160559
officehome_convnext_frozen__split05__seed1,1,0.10071374220167872,1,0.10001595640907134,1,0.22075104902999976,0.18869507795997303,0.15442556419581893,1,0.23142510605692987,0.18435876075863855,0.10858030193427992,1,0.23211406119750383,0.18243746046291795,0.07669629731130966,1,0.23941151880061334,0.1821587414599523,0.05414933963672004
officehome_convnext_frozen__split05__seed2,1,0.11196247385927685,1,0.11122937785159685,1,0.19778784160417293,0.1960000968957195,0.15278688452779268,1,0.20851907413362109,0.19736063312023228,0.10889018963928082,1,0.21207747905950397,0.19576652774310466,0.07685725196263524,1,0.21682484933798973,0.1963740864271175,0.05438931640137737
