semantic_id,dataset,best_auroc,best_fpr95,H_certified,H_ecc
cifar100_proser_fedavg__split03__seed4__d5.0,cifar100,0.676635,0.884416,0,0.0
cifar100_proser_fedavg__split04__seed0__d0.1,cifar100,0.718053,0.8,0,0.0
cifar100_proser_fedavg__split04__seed0__d0.5,cifar100,0.712882,0.876623,0,0.0
cifar100_proser_fedavg__split04__seed0__d5.0,cifar100,0.747887,0.809091,1,0.12804566180103333
cifar100_proser_fedavg__split04__seed1__d0.1,cifar100,0.683838,0.877922,0,0.0
cifar100_proser_fedavg__split04__seed1__d0.5,cifar100,0.722486,0.858442,1,0.03299367095597645
cifar100_proser_fedavg__split04__seed1__d5.0,cifar100,0.730714,0.845455,1,0.07565967752991613
cifar100_proser_fedavg__split04__seed2__d0.1,cifar100,0.708475,0.861039,0,0.0
cifar100_proser_fedavg__split04__seed2__d0.5,cifar100,0.733798,0.857143,0,0.0
cifar100_proser_fedavg__split04__seed2__d5.0,cifar100,0.713852,0.863636,0,0.0
cifar100_proser_fedavg__split04__seed3__d0.1,cifar100,0.679937,0.881818,0,0.0
cifar100_proser_fedavg__split04__seed3__d0.5,cifar100,0.709603,0.842857,0,0.0
cifar100_proser_fedavg__split04__seed3__d5.0,cifar100,0.727128,0.831169,0,0.0
cifar100_proser_fedavg__split04__seed4__d0.1,cifar100,0.675366,0.851948,0,0.0
cifar100_proser_fedavg__split04__seed4__d0.5,cifar100,0.708136,0.861039,0,0.0
cifar100_proser_fedavg__split04__seed4__d5.0,cifar100,0.70223,0.841558,0,0.0
cifar100_proser_fedavg__split05__seed0__d0.1,cifar100,0.657941,0.911688,0,0.0
cifar100_proser_fedavg__split05__seed0__d0.5,cifar100,0.676768,0.896104,0,0.0
cifar100_proser_fedavg__split05__seed0__d5.0,cifar100,0.683725,0.906494,0,0.0
cifar100_proser_fedavg__split05__seed1__d0.1,cifar100,0.639295,0.898701,0,0.0
cifar100_proser_fedavg__split05__seed1__d0.5,cifar100,0.669582,0.893506,0,0.0
cifar100_proser_fedavg__split05__seed1__d5.0,cifar100,0.683825,0.88961,1,0.05941604726528243
cifar100_proser_fedavg__split05__seed2__d0.1,cifar100,0.650627,0.877922,0,0.0
cifar100_proser_fedavg__split05__seed2__d0.5,cifar100,0.650931,0.867532,0,0.0
cifar100_proser_fedavg__split05__seed2__d5.0,cifar100,0.68089,0.867532,0,0.0
cifar100_proser_fedavg__split05__seed3__d0.1,cifar100,0.672991,0.880519,0,0.0
cifar100_proser_fedavg__split05__seed3__d0.5,cifar100,0.688107,0.877922,0,0.0
cifar100_proser_fedavg__split05__seed3__d5.0,cifar100,0.689409,0.875325,0,0.0
cifar100_proser_fedavg__split05__seed4__d0.1,cifar100,0.632986,0.88961,0,0.0
cifar100_proser_fedavg__split05__seed4__d0.5,cifar100,0.660266,0.914286,0,0.0
cifar100_proser_fedavg__split05__seed4__d5.0,cifar100,0.680877,0.87013,0,0.0
cifar100_proser_fedavg__split06__seed0__d0.1,cifar100,0.695354,0.858442,0,0.0
cifar100_proser_fedavg__split06__seed0__d0.5,cifar100,0.716062,0.842857,0,0.0
cifar100_proser_fedavg__split06__seed0__d5.0,cifar100,0.752061,0.754545,0,0.0
cifar100_proser_fedavg__split06__seed1__d0.1,cifar100,0.696957,0.850649,0,0.0
cifar100_proser_fedavg__split06__seed1__d0.5,cifar100,0.71735,0.814286,0,0.0
cifar100_proser_fedavg__split06__seed1__d5.0,cifar100,0.732685,0.835065,0,0.0
cifar100_proser_fedavg__split06__seed2__d0.1,cifar100,0.697461,0.815584,0,0.0
cifar100_proser_fedavg__split06__seed2__d0.5,cifar100,0.713102,0.848052,1,0.0740174636052026
cifar100_proser_fedavg__split06__seed2__d5.0,cifar100,0.712747,0.867532,0,0.0
cifar100_proser_fedavg__split06__seed3__d0.1,cifar100,0.703996,0.864935,0,0.0
cifar100_proser_fedavg__split06__seed3__d0.5,cifar100,0.705553,0.833766,0,0.0
cifar100_proser_fedavg__split06__seed3__d5.0,cifar100,0.743716,0.798701,0,0.0
cifar100_proser_fedavg__split06__seed4__d0.1,cifar100,0.730242,0.828571,0,0.0
cifar100_proser_fedavg__split06__seed4__d0.5,cifar100,0.724253,0.822078,0,0.0
cifar100_proser_fedavg__split06__seed4__d5.0,cifar100,0.73892,0.825974,0,0.0
cifar100_proser_fedavg__split07__seed0__d0.1,cifar100,0.659953,0.875325,0,0.0
cifar100_proser_fedavg__split07__seed0__d0.5,cifar100,0.676447,0.888312,0,0.0
cifar100_proser_fedavg__split07__seed0__d5.0,cifar100,0.721724,0.874026,0,0.0
cifar100_proser_fedavg__split07__seed1__d0.1,cifar100,0.669161,0.879221,0,0.0
cifar100_proser_fedavg__split07__seed1__d0.5,cifar100,0.694454,0.836364,0,0.0
cifar100_proser_fedavg__split07__seed1__d5.0,cifar100,0.714019,0.871429,0,0.0
cifar100_proser_fedavg__split07__seed2__d0.1,cifar100,0.675306,0.879221,0,0.0
cifar100_proser_fedavg__split07__seed2__d0.5,cifar100,0.710042,0.845455,0,0.0
cifar100_proser_fedavg__split07__seed2__d5.0,cifar100,0.710558,0.835065,0,0.0
cifar100_proser_fedavg__split07__seed3__d0.1,cifar100,0.674775,0.894805,0,0.0
cifar100_proser_fedavg__split07__seed3__d0.5,cifar100,0.706283,0.849351,0,0.0
cifar100_proser_fedavg__split07__seed3__d5.0,cifar100,0.723783,0.844156,0,0.0
cifar100_proser_fedavg__split07__seed4__d0.1,cifar100,0.678056,0.858442,0,0.0
cifar100_proser_fedavg__split07__seed4__d0.5,cifar100,0.684603,0.851948,0,0.0
cifar100_proser_fedavg__split07__seed4__d5.0,cifar100,0.700211,0.844156,0,0.0
