joint_confidence,delta_r,delta_c,procedure,certified_cells,effective_certified_acceptance
0.90,0.05,0.05,H,177,0.0834
0.90,0.05,0.05,S,177,0.0817
0.90,0.05,0.05,B,130,0.0602
0.95,0.025,0.025,H,157,0.0742
0.95,0.025,0.025,S,157,0.0726
0.95,0.025,0.025,B,114,0.051
0.98,0.01,0.01,H,127,0.0598
0.98,0.01,0.01,S,127,0.0588
0.98,0.01,0.01,B,87,0.0401
0.99,0.005,0.005,H,113,0.052
0.99,0.005,0.005,S,113,0.0507
0.99,0.005,0.005,B,70,0.0326
