dataset,audit_n_per_client,n_cells,n_cell_replicates,certified_count,certification_rate,effective_certified_acceptance,conditional_certified_acceptance
cifar10,128,150.0,30000.0,193.0,0.0064333333333333334,0.0014334575824051907,0.22281724078837162
cifar10,256,150.0,30000.0,4546.0,0.15153333333333333,0.037048298377830115,0.24448943056201128
cifar10,514,150.0,30000.0,12387.0,0.4129,0.12022085247348299,0.2911621517885274
cifar10,1028,150.0,30000.0,17976.0,0.5992,0.1896486930877579,0.31650315935874146
cifar100,128,150.0,30000.0,0.0,0.0,0.0,
cifar100,256,150.0,30000.0,9.0,0.0003,2.141626171425967e-05,0.07138753904753223
cifar100,514,150.0,30000.0,2262.0,0.0754,0.006374399778550818,0.08454111112136363
cifar100,1028,150.0,30000.0,13032.0,0.4344,0.046464997548653623,0.10696362234957096
