semantic_id,dataset,condition,alpha,J,traffic_counts,simplex_certified,simplex_risk_bound,simplex_coverage_lcb,bounded_certified,bounded_risk_bound,bounded_coverage_lcb,gain
cifar100_proser_fedavg__split00__seed2__d0.1,cifar100,d0.1,0.1,5,223|205|197|191|184,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split00__seed2__d0.1,cifar100,d0.1,0.15,5,223|205|197|191|184,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split00__seed2__d0.1,cifar100,d0.1,0.2,5,223|205|197|191|184,0,,0.0,1,0.19794186152317328,0.09497644253315649,1
cifar100_proser_fedavg__split00__seed2__d0.1,cifar100,d0.1,0.25,5,223|205|197|191|184,1,0.22092271386438567,0.10237773175548391,1,0.20260278385736696,0.11234139711969215,0
cifar100_proser_fedavg__split00__seed2__d0.1,cifar100,d0.1,0.3,5,223|205|197|191|184,1,0.2926196410208435,0.13497382023620932,1,0.2703451550149045,0.15241270481664154,0
cifar100_proser_fedavg__split00__seed2__d0.5,cifar100,d0.5,0.05,5,226|171|185|195|223,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split00__seed2__d0.5,cifar100,d0.5,0.1,5,226|171|185|195|223,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split00__seed2__d0.5,cifar100,d0.5,0.15,5,226|171|185|195|223,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split00__seed2__d0.5,cifar100,d0.5,0.2,5,226|171|185|195|223,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split00__seed2__d0.5,cifar100,d0.5,0.25,5,226|171|185|195|223,0,,0.0,1,0.24295825483083472,0.06442232857887105,1
cifar100_proser_fedavg__split00__seed2__d0.5,cifar100,d0.5,0.3,5,226|171|185|195|223,1,0.2667816338363875,0.0872520201548094,1,0.29955417417739494,0.24761489368812165,0
cifar100_proser_fedavg__split00__seed2__d5.0,cifar100,d5,0.05,5,205|191|187|202|215,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split00__seed2__d5.0,cifar100,d5,0.1,5,205|191|187|202|215,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split00__seed2__d5.0,cifar100,d5,0.15,5,205|191|187|202|215,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split00__seed2__d5.0,cifar100,d5,0.2,5,205|191|187|202|215,0,,0.0,1,0.19250860704923217,0.02990122783112359,1
cifar100_proser_fedavg__split00__seed2__d5.0,cifar100,d5,0.25,5,205|191|187|202|215,1,0.2486666799984284,0.14542463675116588,1,0.2355242162663963,0.16379287736043732,0
cifar100_proser_fedavg__split00__seed2__d5.0,cifar100,d5,0.3,5,205|191|187|202|215,1,0.27202652100247515,0.17005846295116048,1,0.2750078053370806,0.1933364287715236,0
cifar100_proser_fedavg__split00__seed3__d0.1,cifar100,d0.1,0.05,5,197|212|201|196|194,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split00__seed3__d0.1,cifar100,d0.1,0.1,5,197|212|201|196|194,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split00__seed3__d0.1,cifar100,d0.1,0.15,5,197|212|201|196|194,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split00__seed3__d0.1,cifar100,d0.1,0.2,5,197|212|201|196|194,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split00__seed3__d0.1,cifar100,d0.1,0.25,5,197|212|201|196|194,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split00__seed3__d0.1,cifar100,d0.1,0.3,5,197|212|201|196|194,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split00__seed3__d0.5,cifar100,d0.5,0.05,5,187|220|187|214|192,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split00__seed3__d0.5,cifar100,d0.5,0.1,5,187|220|187|214|192,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split00__seed3__d0.5,cifar100,d0.5,0.15,5,187|220|187|214|192,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split00__seed3__d0.5,cifar100,d0.5,0.2,5,187|220|187|214|192,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split00__seed3__d0.5,cifar100,d0.5,0.25,5,187|220|187|214|192,0,,0.0,1,0.2465325620906777,0.09032516173952304,1
cifar100_proser_fedavg__split00__seed3__d0.5,cifar100,d0.5,0.3,5,187|220|187|214|192,1,0.2858135898026206,0.08226388471076324,1,0.276350681081131,0.1455425042563766,0
cifar100_proser_fedavg__split00__seed3__d5.0,cifar100,d5,0.05,5,203|193|195|213|196,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split00__seed3__d5.0,cifar100,d5,0.1,5,203|193|195|213|196,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split00__seed3__d5.0,cifar100,d5,0.15,5,203|193|195|213|196,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split00__seed3__d5.0,cifar100,d5,0.2,5,203|193|195|213|196,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split00__seed3__d5.0,cifar100,d5,0.25,5,203|193|195|213|196,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split00__seed3__d5.0,cifar100,d5,0.3,5,203|193|195|213|196,1,0.29846180669299294,0.061021268059513294,1,0.29281861234255346,0.19419794495094633,0
cifar100_proser_fedavg__split00__seed4__d0.1,cifar100,d0.1,0.05,5,207|211|181|214|187,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split00__seed4__d0.1,cifar100,d0.1,0.1,5,207|211|181|214|187,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split00__seed4__d0.1,cifar100,d0.1,0.15,5,207|211|181|214|187,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split00__seed4__d0.1,cifar100,d0.1,0.2,5,207|211|181|214|187,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split00__seed4__d0.1,cifar100,d0.1,0.25,5,207|211|181|214|187,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split00__seed4__d0.1,cifar100,d0.1,0.3,5,207|211|181|214|187,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split00__seed4__d0.5,cifar100,d0.5,0.05,5,178|222|201|199|200,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split00__seed4__d0.5,cifar100,d0.5,0.1,5,178|222|201|199|200,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split00__seed4__d0.5,cifar100,d0.5,0.15,5,178|222|201|199|200,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split00__seed4__d0.5,cifar100,d0.5,0.2,5,178|222|201|199|200,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split00__seed4__d0.5,cifar100,d0.5,0.25,5,178|222|201|199|200,0,,0.0,1,0.23861748071174815,0.0622038158737469,1
cifar100_proser_fedavg__split00__seed4__d0.5,cifar100,d0.5,0.3,5,178|222|201|199|200,0,,0.0,1,0.2985330188931639,0.147528866279325,1
cifar100_proser_fedavg__split00__seed4__d5.0,cifar100,d5,0.05,5,194|205|194|200|207,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split00__seed4__d5.0,cifar100,d5,0.1,5,194|205|194|200|207,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split00__seed4__d5.0,cifar100,d5,0.15,5,194|205|194|200|207,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split00__seed4__d5.0,cifar100,d5,0.2,5,194|205|194|200|207,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split00__seed4__d5.0,cifar100,d5,0.25,5,194|205|194|200|207,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split00__seed4__d5.0,cifar100,d5,0.3,5,194|205|194|200|207,0,,0.0,1,0.29082867064070517,0.04142105597824066,1
cifar100_proser_fedavg__split01__seed0__d0.1,cifar100,d0.1,0.05,5,207|181|185|217|210,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split01__seed0__d0.1,cifar100,d0.1,0.1,5,207|181|185|217|210,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split01__seed0__d0.1,cifar100,d0.1,0.15,5,207|181|185|217|210,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split01__seed0__d0.1,cifar100,d0.1,0.2,5,207|181|185|217|210,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split01__seed0__d0.1,cifar100,d0.1,0.25,5,207|181|185|217|210,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split01__seed0__d0.1,cifar100,d0.1,0.3,5,207|181|185|217|210,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split01__seed0__d0.5,cifar100,d0.5,0.05,5,199|221|190|195|195,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split01__seed0__d0.5,cifar100,d0.5,0.1,5,199|221|190|195|195,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split01__seed0__d0.5,cifar100,d0.5,0.15,5,199|221|190|195|195,0,,0.0,1,0.1498952733766764,0.05918316606168868,1
cifar100_proser_fedavg__split01__seed0__d0.5,cifar100,d0.5,0.2,5,199|221|190|195|195,0,,0.0,1,0.19070399199986393,0.07628278282501212,1
cifar100_proser_fedavg__split01__seed0__d0.5,cifar100,d0.5,0.25,5,199|221|190|195|195,1,0.2390571286296084,0.10746855377756538,1,0.24847756626036646,0.156286311775834,0
cifar100_proser_fedavg__split01__seed0__d0.5,cifar100,d0.5,0.3,5,199|221|190|195|195,1,0.28645450464814437,0.17537877301093394,1,0.26212280095384155,0.17939103123737077,0
cifar100_proser_fedavg__split01__seed0__d5.0,cifar100,d5,0.05,5,205|205|205|205|180,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split01__seed0__d5.0,cifar100,d5,0.1,5,205|205|205|205|180,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split01__seed0__d5.0,cifar100,d5,0.15,5,205|205|205|205|180,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split01__seed0__d5.0,cifar100,d5,0.2,5,205|205|205|205|180,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split01__seed0__d5.0,cifar100,d5,0.25,5,205|205|205|205|180,0,,0.0,1,0.2220053695968929,0.16311675309985738,1
cifar100_proser_fedavg__split01__seed0__d5.0,cifar100,d5,0.3,5,205|205|205|205|180,1,0.2780290421614293,0.19500134841768263,1,0.29073840531259776,0.22828616912127372,0
cifar100_proser_fedavg__split01__seed1__d0.1,cifar100,d0.1,0.05,5,200|192|193|217|198,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split01__seed1__d0.1,cifar100,d0.1,0.1,5,200|192|193|217|198,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split01__seed1__d0.1,cifar100,d0.1,0.15,5,200|192|193|217|198,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split01__seed1__d0.1,cifar100,d0.1,0.2,5,200|192|193|217|198,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split01__seed1__d0.1,cifar100,d0.1,0.25,5,200|192|193|217|198,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split01__seed1__d0.1,cifar100,d0.1,0.3,5,200|192|193|217|198,0,,0.0,1,0.2756622592772628,0.10142025265042034,1
cifar100_proser_fedavg__split01__seed1__d0.5,cifar100,d0.5,0.05,5,207|211|183|206|193,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split01__seed1__d0.5,cifar100,d0.5,0.1,5,207|211|183|206|193,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split01__seed1__d0.5,cifar100,d0.5,0.15,5,207|211|183|206|193,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split01__seed1__d0.5,cifar100,d0.5,0.2,5,207|211|183|206|193,0,,0.0,1,0.1702715123310868,0.11151850629322235,1
cifar100_proser_fedavg__split01__seed1__d0.5,cifar100,d0.5,0.25,5,207|211|183|206|193,1,0.21528515954267655,0.11943241373769062,1,0.2379059868953997,0.17560979464955126,0
cifar100_proser_fedavg__split01__seed1__d0.5,cifar100,d0.5,0.3,5,207|211|183|206|193,1,0.2855888659644213,0.19500134841768263,1,0.2855374594537285,0.2829287527536325,0
cifar100_proser_fedavg__split01__seed1__d5.0,cifar100,d5,0.05,5,203|199|207|191|200,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split01__seed1__d5.0,cifar100,d5,0.1,5,203|199|207|191|200,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split01__seed1__d5.0,cifar100,d5,0.15,5,203|199|207|191|200,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split01__seed1__d5.0,cifar100,d5,0.2,5,203|199|207|191|200,1,0.18390945330077627,0.13497382023620932,1,0.17598665290740886,0.16173500393565132,0
cifar100_proser_fedavg__split01__seed1__d5.0,cifar100,d5,0.25,5,203|199|207|191|200,1,0.2080972337257192,0.15594128738219845,1,0.24955044298782988,0.23784132428450458,0
cifar100_proser_fedavg__split01__seed1__d5.0,cifar100,d5,0.3,5,203|199|207|191|200,1,0.238872975432746,0.19142066384342218,1,0.2933009787037252,0.2976622930665569,0
cifar100_proser_fedavg__split01__seed2__d0.1,cifar100,d0.1,0.05,5,207|211|194|193|195,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split01__seed2__d0.1,cifar100,d0.1,0.1,5,207|211|194|193|195,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split01__seed2__d0.1,cifar100,d0.1,0.15,5,207|211|194|193|195,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split01__seed2__d0.1,cifar100,d0.1,0.2,5,207|211|194|193|195,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split01__seed2__d0.1,cifar100,d0.1,0.25,5,207|211|194|193|195,1,0.23516794992788095,0.02136901710538746,1,0.2314376440217478,0.09898000894627791,0
cifar100_proser_fedavg__split01__seed2__d0.1,cifar100,d0.1,0.3,5,207|211|194|193|195,1,0.26450904705992195,0.07074423633134858,1,0.2875469823911292,0.1170393323157123,0
cifar100_proser_fedavg__split01__seed2__d0.5,cifar100,d0.5,0.05,5,206|201|195|221|177,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split01__seed2__d0.5,cifar100,d0.5,0.1,5,206|201|195|221|177,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split01__seed2__d0.5,cifar100,d0.5,0.15,5,206|201|195|221|177,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split01__seed2__d0.5,cifar100,d0.5,0.2,5,206|201|195|221|177,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split01__seed2__d0.5,cifar100,d0.5,0.25,5,206|201|195|221|177,1,0.24066779914612707,0.083923384581486,1,0.1896266755813999,0.0873428967085483,0
cifar100_proser_fedavg__split01__seed2__d0.5,cifar100,d0.5,0.3,5,206|201|195|221|177,1,0.2875975981914796,0.12115073228675066,1,0.28145231383836555,0.17605388605105363,0
