result_key,stem,split_id,train_seed,alpha,group_name,group_index,accepted_count_Ag,accepted_error_count_Kg,reservoir_n_g_drawn,empirical_accepted_risk,cp_risk_ucb,cp_width,accept_rate_lcb,supports,is_binding_group,group_failure_reason
fed_isic2019__fed-isic__split01__seed0__dna__alphaANY__variantANY|alpha0.2|grouped,fed_isic2019__fed-isic__split01__seed0__dna__alphaANY__variantANY,split01,0,0.2,HAM_derived,0,5,0,136,0.0,0.6161480503626224,0.6161480503626224,0.009078612096402665,True,False,cp_width_blocks (empirical<alpha but finite-sample UCB>alpha)
fed_isic2019__fed-isic__split01__seed0__dna__alphaANY__variantANY|alpha0.2|grouped,fed_isic2019__fed-isic__split01__seed0__dna__alphaANY__variantANY,split01,0,0.2,other,1,1,0,48,0.0,0.9916666666666667,0.9916666666666667,0.00017432333872317103,True,True,cp_width_blocks (empirical<alpha but finite-sample UCB>alpha)
fed_isic2019__fed-isic__split01__seed0__dna__alphaANY__variantANY|alpha0.25|grouped,fed_isic2019__fed-isic__split01__seed0__dna__alphaANY__variantANY,split01,0,0.25,HAM_derived,0,5,0,136,0.0,0.6161480503626224,0.6161480503626224,0.009078612096402665,True,False,cp_width_blocks (empirical<alpha but finite-sample UCB>alpha)
fed_isic2019__fed-isic__split01__seed0__dna__alphaANY__variantANY|alpha0.25|grouped,fed_isic2019__fed-isic__split01__seed0__dna__alphaANY__variantANY,split01,0,0.25,other,1,1,0,48,0.0,0.9916666666666667,0.9916666666666667,0.00017432333872317103,True,True,cp_width_blocks (empirical<alpha but finite-sample UCB>alpha)
fed_isic2019__fed-isic__split01__seed0__dna__alphaANY__variantANY|alpha0.3|grouped,fed_isic2019__fed-isic__split01__seed0__dna__alphaANY__variantANY,split01,0,0.3,HAM_derived,0,5,0,136,0.0,0.6161480503626224,0.6161480503626224,0.009078612096402665,True,False,cp_width_blocks (empirical<alpha but finite-sample UCB>alpha)
fed_isic2019__fed-isic__split01__seed0__dna__alphaANY__variantANY|alpha0.3|grouped,fed_isic2019__fed-isic__split01__seed0__dna__alphaANY__variantANY,split01,0,0.3,other,1,1,0,48,0.0,0.9916666666666667,0.9916666666666667,0.00017432333872317103,True,True,cp_width_blocks (empirical<alpha but finite-sample UCB>alpha)
fed_isic2019__fed-isic__split01__seed1__dna__alphaANY__variantANY|alpha0.05|grouped,fed_isic2019__fed-isic__split01__seed1__dna__alphaANY__variantANY,split01,1,0.05,HAM_derived,0,5,0,136,0.0,0.6161480503626224,0.6161480503626224,0.009078612096402665,True,True,cp_width_blocks (empirical<alpha but finite-sample UCB>alpha)
fed_isic2019__fed-isic__split01__seed1__dna__alphaANY__variantANY|alpha0.05|grouped,fed_isic2019__fed-isic__split01__seed1__dna__alphaANY__variantANY,split01,1,0.05,other,1,0,0,48,,1.0,,0.0,False,False,no_accepted_units_A_g=0
fed_isic2019__fed-isic__split01__seed1__dna__alphaANY__variantANY|alpha0.1|grouped,fed_isic2019__fed-isic__split01__seed1__dna__alphaANY__variantANY,split01,1,0.1,HAM_derived,0,5,0,136,0.0,0.6161480503626224,0.6161480503626224,0.009078612096402665,True,True,cp_width_blocks (empirical<alpha but finite-sample UCB>alpha)
fed_isic2019__fed-isic__split01__seed1__dna__alphaANY__variantANY|alpha0.1|grouped,fed_isic2019__fed-isic__split01__seed1__dna__alphaANY__variantANY,split01,1,0.1,other,1,0,0,48,,1.0,,0.0,False,False,no_accepted_units_A_g=0
fed_isic2019__fed-isic__split01__seed1__dna__alphaANY__variantANY|alpha0.15|grouped,fed_isic2019__fed-isic__split01__seed1__dna__alphaANY__variantANY,split01,1,0.15,HAM_derived,0,5,0,136,0.0,0.6161480503626224,0.6161480503626224,0.009078612096402665,True,True,cp_width_blocks (empirical<alpha but finite-sample UCB>alpha)
fed_isic2019__fed-isic__split01__seed1__dna__alphaANY__variantANY|alpha0.15|grouped,fed_isic2019__fed-isic__split01__seed1__dna__alphaANY__variantANY,split01,1,0.15,other,1,0,0,48,,1.0,,0.0,False,False,no_accepted_units_A_g=0
fed_isic2019__fed-isic__split01__seed1__dna__alphaANY__variantANY|alpha0.2|grouped,fed_isic2019__fed-isic__split01__seed1__dna__alphaANY__variantANY,split01,1,0.2,HAM_derived,0,5,0,136,0.0,0.6161480503626224,0.6161480503626224,0.009078612096402665,True,True,cp_width_blocks (empirical<alpha but finite-sample UCB>alpha)
fed_isic2019__fed-isic__split01__seed1__dna__alphaANY__variantANY|alpha0.2|grouped,fed_isic2019__fed-isic__split01__seed1__dna__alphaANY__variantANY,split01,1,0.2,other,1,0,0,48,,1.0,,0.0,False,False,no_accepted_units_A_g=0
