semantic_id,dataset,condition,d,arm,alpha,J,M,delta_r,delta_c,legacy_eps_c,theorem_eps_c,holm_min_iut_pvalue,holm_n_risk_rejected,legacy_n_certified_candidates,theorem_n_certified_candidates,coverage_allocation_change,legacy_certified,legacy_selected_index,legacy_selected_score,legacy_selected_gamma,legacy_coverage_lcb,legacy_selected_iut_pvalue,theorem_certified,theorem_selected_index,theorem_selected_score,theorem_selected_gamma,theorem_coverage_lcb,theorem_selected_iut_pvalue,archive_convention_holm_reported_pvalue,selection_changed,certification_transition,archive_available,archive_holm_match,archive_simultaneous_match,archive_match_all
cifar100_proser_fedavg__split00__seed0__d5.0,cifar100,d5,5.0,proser_fedavg,0.15,5,12,0.05,0.05,0.0008333333333333334,0.004166666666666667,0.07849270141771506,0,0,0,delta_c/(M J) -> delta_c/M,0,,,,0.0,,0,,,,0.0,,0.07849270141771506,0,0->0,1,1.0,1.0,1.0
cifar100_proser_fedavg__split00__seed0__d5.0,cifar100,d5,5.0,proser_fedavg,0.2,5,12,0.05,0.05,0.0008333333333333334,0.004166666666666667,0.015139162504312586,0,0,0,delta_c/(M J) -> delta_c/M,0,,,,0.0,,0,,,,0.0,,0.015139162504312586,0,0->0,1,1.0,1.0,1.0
cifar100_proser_fedavg__split00__seed0__d5.0,cifar100,d5,5.0,proser_fedavg,0.25,5,12,0.05,0.05,0.0008333333333333334,0.004166666666666667,0.0007340719117005979,4,4,4,delta_c/(M J) -> delta_c/M,1,9.0,margin,0.5,0.1176481589409964,0.0007340719117005979,1,9.0,margin,0.5,0.12459392772978035,0.0007340719117005979,0.0007340719117005979,0,1->1,1,1.0,1.0,1.0
cifar100_proser_fedavg__split00__seed0__d5.0,cifar100,d5,5.0,proser_fedavg,0.3,5,12,0.05,0.05,0.0008333333333333334,0.004166666666666667,4.337604055919807e-05,5,5,5,delta_c/(M J) -> delta_c/M,1,10.0,margin,0.7,0.2112934729849655,0.003259440883800752,1,10.0,margin,0.7,0.22021668330623334,0.003259440883800752,0.003259440883800752,0,1->1,1,1.0,1.0,1.0
cifar100_proser_fedavg__split00__seed1__d0.1,cifar100,d0.1,0.1,proser_fedavg,0.05,5,12,0.05,0.05,0.0008333333333333334,0.004166666666666667,0.9025,0,0,0,delta_c/(M J) -> delta_c/M,0,,,,0.0,,0,,,,0.0,,0.9025,0,0->0,1,1.0,1.0,1.0
cifar100_proser_fedavg__split00__seed1__d0.1,cifar100,d0.1,0.1,proser_fedavg,0.1,5,12,0.05,0.05,0.0008333333333333334,0.004166666666666667,0.7748409780000001,0,0,0,delta_c/(M J) -> delta_c/M,0,,,,0.0,,0,,,,0.0,,0.7748409780000001,0,0->0,1,1.0,1.0,1.0
cifar100_proser_fedavg__split00__seed1__d0.1,cifar100,d0.1,0.1,proser_fedavg,0.15,5,12,0.05,0.05,0.0008333333333333334,0.004166666666666667,0.5994791550859375,0,0,0,delta_c/(M J) -> delta_c/M,0,,,,0.0,,0,,,,0.0,,0.5994791550859375,0,0->0,1,1.0,1.0,1.0
cifar100_proser_fedavg__split00__seed1__d0.1,cifar100,d0.1,0.1,proser_fedavg,0.2,5,12,0.05,0.05,0.0008333333333333334,0.004166666666666667,0.40069167822614177,0,0,0,delta_c/(M J) -> delta_c/M,0,,,,0.0,,0,,,,0.0,,0.40069167822614177,0,0->0,1,1.0,1.0,1.0
cifar100_proser_fedavg__split00__seed1__d0.1,cifar100,d0.1,0.1,proser_fedavg,0.25,5,12,0.05,0.05,0.0008333333333333334,0.004166666666666667,0.08276453110444211,0,0,0,delta_c/(M J) -> delta_c/M,0,,,,0.0,,0,,,,0.0,,0.08276453110444211,0,0->0,1,1.0,1.0,1.0
cifar100_proser_fedavg__split00__seed1__d0.1,cifar100,d0.1,0.1,proser_fedavg,0.3,5,12,0.05,0.05,0.0008333333333333334,0.004166666666666667,0.047426891734416055,0,0,0,delta_c/(M J) -> delta_c/M,0,,,,0.0,,0,,,,0.0,,0.047426891734416055,0,0->0,1,1.0,1.0,1.0
cifar100_proser_fedavg__split00__seed1__d0.5,cifar100,d0.5,0.5,proser_fedavg,0.05,5,12,0.05,0.05,0.0008333333333333334,0.004166666666666667,0.6302494097246094,0,0,0,delta_c/(M J) -> delta_c/M,0,,,,0.0,,0,,,,0.0,,0.6302494097246094,0,0->0,1,1.0,1.0,1.0
cifar100_proser_fedavg__split00__seed1__d0.5,cifar100,d0.5,0.5,proser_fedavg,0.1,5,12,0.05,0.05,0.0008333333333333334,0.004166666666666667,0.2512642956921486,0,0,0,delta_c/(M J) -> delta_c/M,0,,,,0.0,,0,,,,0.0,,0.2512642956921486,0,0->0,1,1.0,1.0,1.0
cifar100_proser_fedavg__split00__seed1__d0.5,cifar100,d0.5,0.5,proser_fedavg,0.15,5,12,0.05,0.05,0.0008333333333333334,0.004166666666666667,0.13589485101897147,0,0,0,delta_c/(M J) -> delta_c/M,0,,,,0.0,,0,,,,0.0,,0.13589485101897147,0,0->0,1,1.0,1.0,1.0
cifar100_proser_fedavg__split00__seed1__d0.5,cifar100,d0.5,0.5,proser_fedavg,0.2,5,12,0.05,0.05,0.0008333333333333334,0.004166666666666667,0.015474250491067277,0,0,0,delta_c/(M J) -> delta_c/M,0,,,,0.0,,0,,,,0.0,,0.015474250491067277,0,0->0,1,1.0,1.0,1.0
cifar100_proser_fedavg__split00__seed1__d0.5,cifar100,d0.5,0.5,proser_fedavg,0.25,5,12,0.05,0.05,0.0008333333333333334,0.004166666666666667,0.008941835458288246,0,0,0,delta_c/(M J) -> delta_c/M,0,,,,0.0,,0,,,,0.0,,0.008941835458288246,0,0->0,1,1.0,1.0,1.0
cifar100_proser_fedavg__split00__seed1__d0.5,cifar100,d0.5,0.5,proser_fedavg,0.3,5,12,0.05,0.05,0.0008333333333333334,0.004166666666666667,0.0003502341607020911,6,6,6,delta_c/(M J) -> delta_c/M,1,2.0,proser,0.7,0.15340387281903298,0.006553943457551685,1,2.0,proser,0.7,0.16122291557743426,0.006553943457551685,0.006553943457551685,0,1->1,1,1.0,1.0,1.0
cifar100_proser_fedavg__split00__seed1__d5.0,cifar100,d5,5.0,proser_fedavg,0.05,5,12,0.05,0.05,0.0008333333333333334,0.004166666666666667,0.3235335449737094,0,0,0,delta_c/(M J) -> delta_c/M,0,,,,0.0,,0,,,,0.0,,0.3235335449737094,0,0->0,1,1.0,1.0,1.0
cifar100_proser_fedavg__split00__seed1__d5.0,cifar100,d5,5.0,proser_fedavg,0.1,5,12,0.05,0.05,0.0008333333333333334,0.004166666666666667,0.08862938119652498,0,0,0,delta_c/(M J) -> delta_c/M,0,,,,0.0,,0,,,,0.0,,0.08862938119652498,0,0->0,1,1.0,1.0,1.0
cifar100_proser_fedavg__split00__seed1__d5.0,cifar100,d5,5.0,proser_fedavg,0.15,5,12,0.05,0.05,0.0008333333333333334,0.004166666666666667,0.018257016801010415,0,0,0,delta_c/(M J) -> delta_c/M,0,,,,0.0,,0,,,,0.0,,0.018257016801010415,0,0->0,1,1.0,1.0,1.0
cifar100_proser_fedavg__split00__seed1__d5.0,cifar100,d5,5.0,proser_fedavg,0.2,5,12,0.05,0.05,0.0008333333333333334,0.004166666666666667,0.0028733122189925635,1,1,1,delta_c/(M J) -> delta_c/M,1,8.0,margin,0.3,0.04701706332639797,0.0028733122189925635,1,8.0,margin,0.3,0.051463406805451854,0.0028733122189925635,0.0028733122189925635,0,1->1,1,1.0,1.0,1.0
cifar100_proser_fedavg__split00__seed1__d5.0,cifar100,d5,5.0,proser_fedavg,0.25,5,12,0.05,0.05,0.0008333333333333334,0.004166666666666667,0.00014330035395217918,4,4,4,delta_c/(M J) -> delta_c/M,1,1.0,proser,0.5,0.10596388684888425,0.0002998991265448755,1,1.0,proser,0.5,0.11258177168812457,0.0002998991265448755,0.0002998991265448755,0,1->1,1,1.0,1.0,1.0
cifar100_proser_fedavg__split00__seed1__d5.0,cifar100,d5,5.0,proser_fedavg,0.3,5,12,0.05,0.05,0.0008333333333333334,0.004166666666666667,2.7766031138774574e-05,5,5,5,delta_c/(M J) -> delta_c/M,1,5.0,energy,0.5,0.1328517632310836,0.00029584838509199603,1,5.0,energy,0.5,0.14019070027175998,0.00029584838509199603,0.00029584838509199603,0,1->1,1,1.0,1.0,1.0
cifar100_proser_fedavg__split00__seed2__d0.1,cifar100,d0.1,0.1,proser_fedavg,0.05,5,12,0.05,0.05,0.0008333333333333334,0.004166666666666667,0.9287886038046875,0,0,0,delta_c/(M J) -> delta_c/M,0,,,,0.0,,0,,,,0.0,,0.9287886038046875,0,0->0,1,1.0,1.0,1.0
cifar100_proser_fedavg__split00__seed2__d0.1,cifar100,d0.1,0.1,proser_fedavg,0.1,5,12,0.05,0.05,0.0008333333333333334,0.004166666666666667,0.7409416268029487,0,0,0,delta_c/(M J) -> delta_c/M,0,,,,0.0,,0,,,,0.0,,0.7409416268029487,0,0->0,1,1.0,1.0,1.0
cifar100_proser_fedavg__split00__seed2__d0.1,cifar100,d0.1,0.1,proser_fedavg,0.15,5,12,0.05,0.05,0.0008333333333333334,0.004166666666666667,0.43551774867890924,0,0,0,delta_c/(M J) -> delta_c/M,0,,,,0.0,,0,,,,0.0,,0.43551774867890924,0,0->0,1,1.0,1.0,1.0
cifar100_proser_fedavg__split00__seed2__d0.1,cifar100,d0.1,0.1,proser_fedavg,0.2,5,12,0.05,0.05,0.0008333333333333334,0.004166666666666667,0.16186313601664234,0,0,0,delta_c/(M J) -> delta_c/M,0,,,,0.0,,0,,,,0.0,,0.16186313601664234,0,0->0,1,1.0,1.0,1.0
cifar100_proser_fedavg__split00__seed2__d0.1,cifar100,d0.1,0.1,proser_fedavg,0.25,5,12,0.05,0.05,0.0008333333333333334,0.004166666666666667,0.019178591882951374,0,0,0,delta_c/(M J) -> delta_c/M,0,,,,0.0,,0,,,,0.0,,0.019178591882951374,0,0->0,1,1.0,1.0,1.0
cifar100_proser_fedavg__split00__seed2__d0.1,cifar100,d0.1,0.1,proser_fedavg,0.3,5,12,0.05,0.05,0.0008333333333333334,0.004166666666666667,0.002975078889827413,1,1,1,delta_c/(M J) -> delta_c/M,1,8.0,margin,0.3,0.05308766076529248,0.002975078889827413,1,8.0,margin,0.3,0.05781552689417223,0.002975078889827413,0.002975078889827413,0,1->1,1,1.0,1.0,1.0
cifar100_proser_fedavg__split00__seed2__d0.5,cifar100,d0.5,0.5,proser_fedavg,0.05,5,12,0.05,0.05,0.0008333333333333334,0.004166666666666667,0.9245163262115037,0,0,0,delta_c/(M J) -> delta_c/M,0,,,,0.0,,0,,,,0.0,,0.9245163262115037,0,0->0,1,1.0,1.0,1.0
cifar100_proser_fedavg__split00__seed2__d0.5,cifar100,d0.5,0.5,proser_fedavg,0.1,5,12,0.05,0.05,0.0008333333333333334,0.004166666666666667,0.5919567312014817,0,0,0,delta_c/(M J) -> delta_c/M,0,,,,0.0,,0,,,,0.0,,0.5919567312014817,0,0->0,1,1.0,1.0,1.0
cifar100_proser_fedavg__split00__seed2__d0.5,cifar100,d0.5,0.5,proser_fedavg,0.15,5,12,0.05,0.05,0.0008333333333333334,0.004166666666666667,0.5244687463256048,0,0,0,delta_c/(M J) -> delta_c/M,0,,,,0.0,,0,,,,0.0,,0.5244687463256048,0,0->0,1,1.0,1.0,1.0
cifar100_proser_fedavg__split00__seed2__d0.5,cifar100,d0.5,0.5,proser_fedavg,0.2,5,12,0.05,0.05,0.0008333333333333334,0.004166666666666667,0.32902960716158325,0,0,0,delta_c/(M J) -> delta_c/M,0,,,,0.0,,0,,,,0.0,,0.32902960716158325,0,0->0,1,1.0,1.0,1.0
cifar100_proser_fedavg__split00__seed2__d0.5,cifar100,d0.5,0.5,proser_fedavg,0.25,5,12,0.05,0.05,0.0008333333333333334,0.004166666666666667,0.21803881087035637,0,0,0,delta_c/(M J) -> delta_c/M,0,,,,0.0,,0,,,,0.0,,0.21803881087035637,0,0->0,1,1.0,1.0,1.0
