semantic_id,dataset,condition,arm,split,repetition,alpha,delta_r,delta_c,J,M,procedure,certified,effective_certified_coverage,coverage_lcb,risk_ucb,holm_raw_pvalue,holm_adjusted_pvalue,selected_candidate_index,selected_score,selected_slot,selected_gamma,selected_threshold
cifar100_proser_fedavg__split02__seed0__d0.1,cifar100,d0.1,proser_fedavg,2,0,0.2,0.05,0.05,5,12,S,0,0.0,0.0,,,,,,,,
cifar100_proser_fedavg__split02__seed0__d0.1,cifar100,d0.1,proser_fedavg,2,0,0.2,0.05,0.05,5,12,B,0,0.0,0.0,,,,,,,,
cifar100_proser_fedavg__split02__seed0__d0.5,cifar100,d0.5,proser_fedavg,2,0,0.2,0.05,0.05,5,12,H,0,0.0,0.0,,,,,,,,
cifar100_proser_fedavg__split02__seed0__d0.5,cifar100,d0.5,proser_fedavg,2,0,0.2,0.05,0.05,5,12,S,0,0.0,0.0,,,,,,,,
cifar100_proser_fedavg__split02__seed0__d0.5,cifar100,d0.5,proser_fedavg,2,0,0.2,0.05,0.05,5,12,B,0,0.0,0.0,,,,,,,,
cifar100_proser_fedavg__split02__seed0__d5.0,cifar100,d5,proser_fedavg,2,0,0.2,0.05,0.05,5,12,H,1,0.1419334816916103,0.1419334816916103,,0.0023335609862107825,0.025669170848318608,1.0,proser,native,0.5,0.9918502164524932
cifar100_proser_fedavg__split02__seed0__d5.0,cifar100,d5,proser_fedavg,2,0,0.2,0.05,0.05,5,12,S,1,0.1419334816916103,0.1419334816916103,0.19179959070472102,,,1.0,proser,native,0.5,0.9918502164524932
cifar100_proser_fedavg__split02__seed0__d5.0,cifar100,d5,proser_fedavg,2,0,0.2,0.05,0.05,5,12,B,1,0.0862639914170663,0.0862639914170663,0.19594089375210022,,,0.0,proser,native,0.3,0.9979694503605564
cifar100_proser_fedavg__split02__seed1__d0.1,cifar100,d0.1,proser_fedavg,2,1,0.2,0.05,0.05,5,12,H,0,0.0,0.0,,,,,,,,
cifar100_proser_fedavg__split02__seed1__d0.1,cifar100,d0.1,proser_fedavg,2,1,0.2,0.05,0.05,5,12,S,0,0.0,0.0,,,,,,,,
cifar100_proser_fedavg__split02__seed1__d0.1,cifar100,d0.1,proser_fedavg,2,1,0.2,0.05,0.05,5,12,B,0,0.0,0.0,,,,,,,,
cifar100_proser_fedavg__split02__seed1__d0.5,cifar100,d0.5,proser_fedavg,2,1,0.2,0.05,0.05,5,12,H,0,0.0,0.0,,,,,,,,
cifar100_proser_fedavg__split02__seed1__d0.5,cifar100,d0.5,proser_fedavg,2,1,0.2,0.05,0.05,5,12,S,0,0.0,0.0,,,,,,,,
cifar100_proser_fedavg__split02__seed1__d0.5,cifar100,d0.5,proser_fedavg,2,1,0.2,0.05,0.05,5,12,B,0,0.0,0.0,,,,,,,,
cifar100_proser_fedavg__split02__seed1__d5.0,cifar100,d5,proser_fedavg,2,1,0.2,0.05,0.05,5,12,H,0,0.0,0.0,,,,,,,,
cifar100_proser_fedavg__split02__seed1__d5.0,cifar100,d5,proser_fedavg,2,1,0.2,0.05,0.05,5,12,S,0,0.0,0.0,,,,,,,,
