semantic_id,dataset,condition,d,arm,method,validity_status,alpha,delta_r,delta_c,J,selector_score,selector_gamma,selector_threshold,selector_proposal_feasible,selector_prop_coverage,selector_prop_risk,true_worst_client_risk,true_min_client_coverage,simulation_seed,B,ucb_coverage_count,empirical_ucb_coverage,certified_count,cert_rate,unsafe_certified_count,unsafe_cert_rate,unsafe_given_cert_rate,EffectiveCertCov,CondCertCov,effective_true_min_coverage,mean_ucb,ucb_q05,ucb_q50,ucb_q95
cifar10_proser_fedavg__split04__seed1__d0.1,cifar10,d0.1,0.1,proser_fedavg,bonferroni_delta_over_J,valid simultaneous per-client CP,0.2,0.05,0.05,5,proser,1.0,0.34127129031264264,1,0.31457725947521864,0.19833178869323448,0.24382716049382716,0.2918287937743191,1277816904,1000,1000,1.0,0,0.0,0,0.0,,0.0,,0.0,0.3540189783487575,0.30895750488602036,0.3528295700083973,0.4033675708429059
cifar10_proser_fedavg__split04__seed1__d0.1,cifar10,d0.1,0.1,proser_fedavg,pooled_CP_intentionally_invalid,invalid for worst-client target,0.2,0.05,0.05,5,proser,1.0,0.34127129031264264,1,0.31457725947521864,0.19833178869323448,0.24382716049382716,0.2918287937743191,1277816904,1000,339,0.339,9,0.009,9,0.009,1.0,0.0026296723807322656,0.29218582008136285,0.0026264591439688722,0.23793824561376323,0.2121930148699995,0.23765508947710934,0.26514327710172
cifar10_proser_fedavg__split04__seed1__d0.5,cifar10,d0.5,0.5,proser_fedavg,fedcore_noJ,valid full-simplex fixed-selector CP,0.2,0.05,0.05,5,energy,1.0,3.171575539885556,1,0.5551020408163265,0.19957983193277312,0.22804054054054054,0.5369649805447471,925668404,1000,997,0.997,0,0.0,0,0.0,,0.0,,0.0,0.2792712231216935,0.24979823099353976,0.278516397532247,0.31308837534923145
cifar10_proser_fedavg__split04__seed1__d0.5,cifar10,d0.5,0.5,proser_fedavg,bonferroni_delta_over_J,valid simultaneous per-client CP,0.2,0.05,0.05,5,energy,1.0,3.171575539885556,1,0.5551020408163265,0.19957983193277312,0.22804054054054054,0.5369649805447471,925668404,1000,1000,1.0,0,0.0,0,0.0,,0.0,,0.0,0.2977403749695798,0.2680115399674671,0.29682943319105587,0.33238548882132457
cifar10_proser_fedavg__split04__seed1__d0.5,cifar10,d0.5,0.5,proser_fedavg,pooled_CP_intentionally_invalid,invalid for worst-client target,0.2,0.05,0.05,5,energy,1.0,3.171575539885556,1,0.5551020408163265,0.19957983193277312,0.22804054054054054,0.5369649805447471,925668404,1000,170,0.17,61,0.061,61,0.061,1.0,0.03260360130330008,0.5344852672672145,0.032754863813229576,0.2173532026225342,0.19893535000375276,0.21691341738004655,0.23589228772212287
cifar10_proser_fedavg__split04__seed1__d5.0,cifar10,d5,5.0,proser_fedavg,fedcore_noJ,valid full-simplex fixed-selector CP,0.2,0.05,0.05,5,energy,1.0,4.150888415882021,1,0.6119533527696793,0.19961886612672702,0.2119815668202765,0.5982490272373541,1312639703,1000,1000,1.0,0,0.0,0,0.0,,0.0,,0.0,0.26534813694460774,0.23568738806623069,0.264960941710003,0.29706873306416726
cifar10_proser_fedavg__split04__seed1__d5.0,cifar10,d5,5.0,proser_fedavg,bonferroni_delta_over_J,valid simultaneous per-client CP,0.2,0.05,0.05,5,energy,1.0,4.150888415882021,1,0.6119533527696793,0.19961886612672702,0.2119815668202765,0.5982490272373541,1312639703,1000,1000,1.0,0,0.0,0,0.0,,0.0,,0.0,0.28267341082001324,0.25269626568038756,0.28249963288198343,0.31464263645801166
cifar10_proser_fedavg__split04__seed1__d5.0,cifar10,d5,5.0,proser_fedavg,pooled_CP_intentionally_invalid,invalid for worst-client target,0.2,0.05,0.05,5,energy,1.0,4.150888415882021,1,0.6119533527696793,0.19961886612672702,0.2119815668202765,0.5982490272373541,1312639703,1000,347,0.347,234,0.234,234,0.234,1.0,0.14029910900271342,0.5995688418919376,0.13999027237354084,0.20761593348235716,0.19067175614583912,0.20730792074281568,0.22440514100893183
cifar10_proser_fedavg__split04__seed2__d0.1,cifar10,d0.1,0.1,proser_fedavg,fedcore_noJ,valid full-simplex fixed-selector CP,0.2,0.05,0.05,5,proser,1.0,0.1558296573799992,1,0.18746355685131194,0.19906687402799378,0.2222222222222222,0.1575875486381323,4085766252,1000,1000,1.0,0,0.0,0,0.0,,0.0,,0.0,0.3314593431101306,0.2717007353841975,0.326874106397469,0.40260457011854456
cifar10_proser_fedavg__split04__seed2__d0.1,cifar10,d0.1,0.1,proser_fedavg,bonferroni_delta_over_J,valid simultaneous per-client CP,0.2,0.05,0.05,5,proser,1.0,0.1558296573799992,1,0.18746355685131194,0.19906687402799378,0.2222222222222222,0.1575875486381323,4085766252,1000,1000,1.0,0,0.0,0,0.0,,0.0,,0.0,0.36817654700682917,0.3063630518151939,0.3636441484668277,0.44149996860192176
cifar10_proser_fedavg__split04__seed2__d0.1,cifar10,d0.1,0.1,proser_fedavg,pooled_CP_intentionally_invalid,invalid for worst-client target,0.2,0.05,0.05,5,proser,1.0,0.1558296573799992,1,0.18746355685131194,0.19906687402799378,0.2222222222222222,0.1575875486381323,4085766252,1000,246,0.246,347,0.347,347,0.347,1.0,0.05381285139694464,0.15508026339177128,0.0546828793774319,0.20769774348295686,0.1754227418775314,0.20769829109151255,0.23848505681061083
cifar10_proser_fedavg__split04__seed2__d0.5,cifar10,d0.5,0.5,proser_fedavg,fedcore_noJ,valid full-simplex fixed-selector CP,0.2,0.05,0.05,5,energy,1.0,2.9887605702199265,1,0.6020408163265306,0.19854721549636803,0.23190789473684212,0.5914396887159533,3510915816,1000,1000,1.0,0,0.0,0,0.0,,0.0,,0.0,0.2923937781875829,0.26503240428039165,0.2913757234292351,0.32270976280511465
cifar10_proser_fedavg__split04__seed2__d0.5,cifar10,d0.5,0.5,proser_fedavg,bonferroni_delta_over_J,valid simultaneous per-client CP,0.2,0.05,0.05,5,energy,1.0,2.9887605702199265,1,0.6020408163265306,0.19854721549636803,0.23190789473684212,0.5914396887159533,3510915816,1000,1000,1.0,0,0.0,0,0.0,,0.0,,0.0,0.31049548351534345,0.2826322802238249,0.3096038478768132,0.3417350933634049
cifar10_proser_fedavg__split04__seed2__d0.5,cifar10,d0.5,0.5,proser_fedavg,pooled_CP_intentionally_invalid,invalid for worst-client target,0.2,0.05,0.05,5,energy,1.0,2.9887605702199265,1,0.6020408163265306,0.19854721549636803,0.23190789473684212,0.5914396887159533,3510915816,1000,661,0.661,0,0.0,0,0.0,,0.0,,0.0,0.2358650520554264,0.2181734060667122,0.23599818449119192,0.2529340505746437
cifar10_proser_fedavg__split04__seed2__d5.0,cifar10,d5,5.0,proser_fedavg,fedcore_noJ,valid full-simplex fixed-selector CP,0.2,0.05,0.05,5,energy,1.0,3.498345198838607,1,0.6521865889212828,0.19848010728654447,0.22521246458923513,0.6488326848249028,2995608348,1000,1000,1.0,0,0.0,0,0.0,,0.0,,0.0,0.2891976418415441,0.2640257929757275,0.28798347787530176,0.31804691342692176
cifar10_proser_fedavg__split04__seed2__d5.0,cifar10,d5,5.0,proser_fedavg,bonferroni_delta_over_J,valid simultaneous per-client CP,0.2,0.05,0.05,5,energy,1.0,3.498345198838607,1,0.6521865889212828,0.19848010728654447,0.22521246458923513,0.6488326848249028,2995608348,1000,1000,1.0,0,0.0,0,0.0,,0.0,,0.0,0.30630406040536057,0.28065721782401976,0.30505911779458156,0.335524463603129
cifar10_proser_fedavg__split04__seed2__d5.0,cifar10,d5,5.0,proser_fedavg,pooled_CP_intentionally_invalid,invalid for worst-client target,0.2,0.05,0.05,5,energy,1.0,3.498345198838607,1,0.6521865889212828,0.19848010728654447,0.22521246458923513,0.6488326848249028,2995608348,1000,886,0.886,0,0.0,0,0.0,,0.0,,0.0,0.23761577006590828,0.22123222994907796,0.23731271913447963,0.2538440816635294
cifar10_proser_fedavg__split04__seed3__d0.1,cifar10,d0.1,0.1,proser_fedavg,fedcore_noJ,valid full-simplex fixed-selector CP,0.2,0.05,0.05,5,margin,1.0,0.9946948949708587,1,0.3110787172011662,0.19775070290534208,0.2027491408934708,0.2830739299610895,242589824,1000,1000,1.0,0,0.0,0,0.0,,0.0,,0.0,0.2940686595179045,0.2560693826390549,0.2927324216594273,0.3370796235788217
cifar10_proser_fedavg__split04__seed3__d0.1,cifar10,d0.1,0.1,proser_fedavg,bonferroni_delta_over_J,valid simultaneous per-client CP,0.2,0.05,0.05,5,margin,1.0,0.9946948949708587,1,0.3110787172011662,0.19775070290534208,0.2027491408934708,0.2830739299610895,242589824,1000,1000,1.0,0,0.0,0,0.0,,0.0,,0.0,0.32021999359670567,0.2812288653355155,0.31888720057736375,0.36415985476020085
cifar10_proser_fedavg__split04__seed3__d0.1,cifar10,d0.1,0.1,proser_fedavg,pooled_CP_intentionally_invalid,invalid for worst-client target,0.2,0.05,0.05,5,margin,1.0,0.9946948949708587,1,0.3110787172011662,0.19775070290534208,0.2027491408934708,0.2830739299610895,242589824,1000,837,0.837,119,0.119,119,0.119,1.0,0.033871133335486,0.28463137256710913,0.03368579766536965,0.21702566332977954,0.19298780490255815,0.2168932785225651,0.24235249973379813
cifar10_proser_fedavg__split04__seed3__d0.5,cifar10,d0.5,0.5,proser_fedavg,fedcore_noJ,valid full-simplex fixed-selector CP,0.2,0.05,0.05,5,energy,1.0,2.5781099445445084,1,0.5819241982507288,0.19889779559118237,0.20133111480865223,0.5554474708171206,644227899,1000,1000,1.0,0,0.0,0,0.0,,0.0,,0.0,0.2582463367387346,0.23149079712631573,0.2567927830290266,0.29144903269153083
cifar10_proser_fedavg__split04__seed3__d0.5,cifar10,d0.5,0.5,proser_fedavg,bonferroni_delta_over_J,valid simultaneous per-client CP,0.2,0.05,0.05,5,energy,1.0,2.5781099445445084,1,0.5819241982507288,0.19889779559118237,0.20133111480865223,0.5554474708171206,644227899,1000,1000,1.0,0,0.0,0,0.0,,0.0,,0.0,0.27615310059304965,0.2485120871005297,0.27473638459213223,0.30973893085929044
cifar10_proser_fedavg__split04__seed3__d0.5,cifar10,d0.5,0.5,proser_fedavg,pooled_CP_intentionally_invalid,invalid for worst-client target,0.2,0.05,0.05,5,energy,1.0,2.5781099445445084,1,0.5819241982507288,0.19889779559118237,0.20133111480865223,0.5554474708171206,644227899,1000,527,0.527,419,0.419,419,0.419,1.0,0.23508431080780337,0.5610604076558553,0.23273249027237353,0.20237867927544043,0.18488701748543448,0.20223337046771167,0.22010515913907563
