semantic_id,dataset,condition,d,arm,client,cert_raw_n,cert_unique_n,test_raw_n,test_unique_n,cert_test_unique_overlap,combined_raw_n,reservoir_unique_n,combined_duplication_rate,unique_accepted_n,unique_accepted_error_n,true_acceptance,true_risk,audit_draw_n
cifar100_proser_fedavg__split00__seed2__d0.1,cifar100,d0.1,0.1,proser_fedavg,3,514,514,514,514,0,1028,1028,0.0,173,29,0.16828793774319067,0.1676300578034682,514
cifar100_proser_fedavg__split00__seed2__d0.1,cifar100,d0.1,0.1,proser_fedavg,4,514,514,514,514,0,1028,1028,0.0,183,31,0.17801556420233464,0.16939890710382513,514
cifar100_proser_fedavg__split00__seed2__d0.5,cifar100,d0.5,0.5,proser_fedavg,0,514,514,514,514,0,1028,1028,0.0,285,54,0.2772373540856031,0.18947368421052632,514
cifar100_proser_fedavg__split00__seed2__d0.5,cifar100,d0.5,0.5,proser_fedavg,1,514,514,514,514,0,1028,1028,0.0,266,45,0.2587548638132296,0.16917293233082706,514
cifar100_proser_fedavg__split00__seed2__d0.5,cifar100,d0.5,0.5,proser_fedavg,2,514,514,514,514,0,1028,1028,0.0,302,63,0.29377431906614787,0.20860927152317882,514
cifar100_proser_fedavg__split00__seed2__d0.5,cifar100,d0.5,0.5,proser_fedavg,3,514,514,514,514,0,1028,1028,0.0,256,68,0.2490272373540856,0.265625,514
cifar100_proser_fedavg__split00__seed2__d0.5,cifar100,d0.5,0.5,proser_fedavg,4,514,514,514,514,0,1028,1028,0.0,293,71,0.2850194552529183,0.24232081911262798,514
cifar100_proser_fedavg__split00__seed2__d5.0,cifar100,d5,5.0,proser_fedavg,0,514,514,514,514,0,1028,1028,0.0,317,53,0.30836575875486383,0.167192429022082,514
cifar100_proser_fedavg__split00__seed2__d5.0,cifar100,d5,5.0,proser_fedavg,1,514,514,514,514,0,1028,1028,0.0,282,55,0.27431906614785995,0.1950354609929078,514
cifar100_proser_fedavg__split00__seed2__d5.0,cifar100,d5,5.0,proser_fedavg,2,514,514,514,514,0,1028,1028,0.0,313,62,0.3044747081712062,0.19808306709265175,514
cifar100_proser_fedavg__split00__seed2__d5.0,cifar100,d5,5.0,proser_fedavg,3,514,514,514,514,0,1028,1028,0.0,273,75,0.26556420233463035,0.27472527472527475,514
cifar100_proser_fedavg__split00__seed2__d5.0,cifar100,d5,5.0,proser_fedavg,4,514,514,514,514,0,1028,1028,0.0,305,63,0.29669260700389105,0.20655737704918034,514
cifar100_proser_fedavg__split00__seed3__d0.1,cifar100,d0.1,0.1,proser_fedavg,0,514,514,514,514,0,1028,1028,0.0,182,40,0.17704280155642024,0.21978021978021978,514
