semantic_id,dataset,condition,split,repetition,S_minus_B,H_minus_S,H_minus_B
cifar10_proser_fedavg__split07__seed2__d0.1,cifar10,d0.1,7,2,0.0,0.0,0.0
cifar10_proser_fedavg__split07__seed2__d0.5,cifar10,d0.5,7,2,0.0,0.0,0.0
cifar10_proser_fedavg__split07__seed2__d5.0,cifar10,d5,7,2,0.0,0.0,0.0
cifar10_proser_fedavg__split07__seed3__d0.1,cifar10,d0.1,7,3,0.0,0.0,0.0
cifar10_proser_fedavg__split07__seed3__d0.5,cifar10,d0.5,7,3,0.0,0.0,0.0
cifar10_proser_fedavg__split07__seed3__d5.0,cifar10,d5,7,3,0.0,0.0,0.0
cifar10_proser_fedavg__split07__seed4__d0.1,cifar10,d0.1,7,4,0.0,0.0,0.0
cifar10_proser_fedavg__split07__seed4__d0.5,cifar10,d0.5,7,4,0.0,0.0,0.0
cifar10_proser_fedavg__split07__seed4__d5.0,cifar10,d5,7,4,0.0,0.0,0.0
cifar10_proser_fedavg__split08__seed0__d0.1,cifar10,d0.1,8,0,0.0,0.0,0.0
cifar10_proser_fedavg__split08__seed0__d0.5,cifar10,d0.5,8,0,0.0,0.0,0.0
cifar10_proser_fedavg__split08__seed0__d5.0,cifar10,d5,8,0,0.0,0.0,0.0
cifar10_proser_fedavg__split08__seed1__d0.1,cifar10,d0.1,8,1,0.0,0.0,0.0
cifar10_proser_fedavg__split08__seed1__d0.5,cifar10,d0.5,8,1,0.0,0.0,0.0
cifar10_proser_fedavg__split08__seed1__d5.0,cifar10,d5,8,1,0.0,0.0,0.0
cifar10_proser_fedavg__split08__seed2__d0.1,cifar10,d0.1,8,2,0.0,0.0,0.0
cifar10_proser_fedavg__split08__seed2__d0.5,cifar10,d0.5,8,2,0.0,0.0,0.0
cifar10_proser_fedavg__split08__seed2__d5.0,cifar10,d5,8,2,0.0,0.0,0.0
cifar10_proser_fedavg__split08__seed3__d0.1,cifar10,d0.1,8,3,0.0,0.0,0.0
cifar10_proser_fedavg__split08__seed3__d0.5,cifar10,d0.5,8,3,0.0,0.0,0.0
cifar10_proser_fedavg__split08__seed3__d5.0,cifar10,d5,8,3,0.0,0.0,0.0
cifar10_proser_fedavg__split08__seed4__d0.1,cifar10,d0.1,8,4,0.0,0.0,0.0
cifar10_proser_fedavg__split08__seed4__d0.5,cifar10,d0.5,8,4,0.0,0.0,0.0
cifar10_proser_fedavg__split08__seed4__d5.0,cifar10,d5,8,4,0.0,0.0,0.0
cifar10_proser_fedavg__split09__seed0__d0.1,cifar10,d0.1,9,0,0.0,0.0,0.0
cifar10_proser_fedavg__split09__seed0__d0.5,cifar10,d0.5,9,0,0.0,0.0,0.0
cifar10_proser_fedavg__split09__seed0__d5.0,cifar10,d5,9,0,0.010119053734039818,0.0886733550418809,0.09879240877592071
cifar10_proser_fedavg__split09__seed1__d0.1,cifar10,d0.1,9,1,0.0,0.0,0.0
cifar10_proser_fedavg__split09__seed1__d0.5,cifar10,d0.5,9,1,0.010061230155763767,0.06953484563255957,0.07959607578832334
cifar10_proser_fedavg__split09__seed1__d5.0,cifar10,d5,9,1,0.010538001147778364,0.0,0.010538001147778364
cifar10_proser_fedavg__split09__seed2__d0.1,cifar10,d0.1,9,2,0.0,0.0,0.0
cifar10_proser_fedavg__split09__seed2__d0.5,cifar10,d0.5,9,2,0.0,0.0,0.0
cifar10_proser_fedavg__split09__seed2__d5.0,cifar10,d5,9,2,0.01267747184210477,0.0,0.01267747184210477
cifar10_proser_fedavg__split09__seed3__d0.1,cifar10,d0.1,9,3,0.007035787485827921,0.0,0.007035787485827921
cifar10_proser_fedavg__split09__seed3__d0.5,cifar10,d0.5,9,3,0.1682881481006248,0.0,0.1682881481006248
cifar10_proser_fedavg__split09__seed3__d5.0,cifar10,d5,9,3,0.00762474823098247,0.0,0.00762474823098247
cifar10_proser_fedavg__split09__seed4__d0.1,cifar10,d0.1,9,4,0.0,0.0,0.0
cifar10_proser_fedavg__split09__seed4__d0.5,cifar10,d0.5,9,4,0.0,0.0,0.0
cifar10_proser_fedavg__split09__seed4__d5.0,cifar10,d5,9,4,0.083923384581486,0.0,0.083923384581486
officehome_convnext_frozen__split00__seed0,officehome,frozen,0,0,0.07742711366121109,0.0,0.07742711366121109
officehome_convnext_frozen__split00__seed1,officehome,frozen,0,1,0.004616076195460117,0.0,0.004616076195460117
officehome_convnext_frozen__split00__seed2,officehome,frozen,0,2,0.005206467380155538,0.0,0.005206467380155538
officehome_convnext_frozen__split00__seed3,officehome,frozen,0,3,0.11702829198173537,0.0,0.11702829198173537
officehome_convnext_frozen__split00__seed4,officehome,frozen,0,4,0.004542266986663851,0.0,0.004542266986663851
officehome_convnext_frozen__split01__seed0,officehome,frozen,1,0,0.004112715447506535,0.0,0.004112715447506535
officehome_convnext_frozen__split01__seed1,officehome,frozen,1,1,0.004690620132273282,0.0,0.004690620132273282
officehome_convnext_frozen__split01__seed2,officehome,frozen,1,2,0.0020919510328746595,0.0,0.0020919510328746595
officehome_convnext_frozen__split01__seed3,officehome,frozen,1,3,0.07563505047623147,0.02302898137549103,0.0986640318517225
officehome_convnext_frozen__split01__seed4,officehome,frozen,1,4,0.020936709003740367,0.0,0.020936709003740367
officehome_convnext_frozen__split02__seed0,officehome,frozen,2,0,0.004601458139825321,0.0,0.004601458139825321
officehome_convnext_frozen__split02__seed1,officehome,frozen,2,1,0.028229893013327484,0.0,0.028229893013327484
officehome_convnext_frozen__split02__seed2,officehome,frozen,2,2,0.004244364122420213,0.0,0.004244364122420213
officehome_convnext_frozen__split02__seed3,officehome,frozen,2,3,0.004744512584378663,0.0,0.004744512584378663
officehome_convnext_frozen__split02__seed4,officehome,frozen,2,4,0.012700697366046468,0.0,0.012700697366046468
officehome_convnext_frozen__split03__seed0,officehome,frozen,3,0,0.10793176555089702,0.0,0.10793176555089702
officehome_convnext_frozen__split03__seed1,officehome,frozen,3,1,0.0,0.0,0.0
officehome_convnext_frozen__split03__seed2,officehome,frozen,3,2,0.0,0.0,0.0
officehome_convnext_frozen__split03__seed3,officehome,frozen,3,3,0.0,0.0,0.0
officehome_convnext_frozen__split03__seed4,officehome,frozen,3,4,0.04457359630628431,0.0,0.04457359630628431
officehome_convnext_frozen__split04__seed0,officehome,frozen,4,0,0.015978847341746216,0.0,0.015978847341746216
officehome_convnext_frozen__split04__seed1,officehome,frozen,4,1,0.036099944740805356,0.0,0.036099944740805356
officehome_convnext_frozen__split04__seed2,officehome,frozen,4,2,0.004126798497028114,0.0,0.004126798497028114
officehome_convnext_frozen__split04__seed3,officehome,frozen,4,3,0.03937651010432168,0.0,0.03937651010432168
officehome_convnext_frozen__split04__seed4,officehome,frozen,4,4,0.05401208239542935,0.0,0.05401208239542935
officehome_convnext_frozen__split05__seed0,officehome,frozen,5,0,0.10914256697982895,0.0,0.10914256697982895
officehome_convnext_frozen__split05__seed1,officehome,frozen,5,1,0.10071374220167872,0.0,0.10071374220167872
officehome_convnext_frozen__split05__seed2,officehome,frozen,5,2,0.004269656662271651,0.0,0.004269656662271651
officehome_convnext_frozen__split05__seed3,officehome,frozen,5,3,0.11667315855446346,0.0,0.11667315855446346
officehome_convnext_frozen__split05__seed4,officehome,frozen,5,4,0.10820371272937505,0.0,0.10820371272937505
officehome_convnext_frozen__split06__seed0,officehome,frozen,6,0,0.0,0.0,0.0
officehome_convnext_frozen__split06__seed1,officehome,frozen,6,1,0.003500943138880677,0.0,0.003500943138880677
officehome_convnext_frozen__split06__seed2,officehome,frozen,6,2,0.07623761387275077,0.0,0.07623761387275077
officehome_convnext_frozen__split06__seed3,officehome,frozen,6,3,0.003968284415997975,0.0,0.003968284415997975
officehome_convnext_frozen__split06__seed4,officehome,frozen,6,4,0.002543774362591955,0.0,0.002543774362591955
officehome_convnext_frozen__split07__seed0,officehome,frozen,7,0,0.003975993334300806,0.0,0.003975993334300806
officehome_convnext_frozen__split07__seed1,officehome,frozen,7,1,0.010160204950140375,0.0,0.010160204950140375
officehome_convnext_frozen__split07__seed2,officehome,frozen,7,2,0.0034860312268575194,0.0,0.0034860312268575194
officehome_convnext_frozen__split07__seed3,officehome,frozen,7,3,0.003833102580272807,0.0,0.003833102580272807
officehome_convnext_frozen__split07__seed4,officehome,frozen,7,4,0.012948277063694669,0.0,0.012948277063694669
officehome_convnext_frozen__split08__seed0,officehome,frozen,8,0,0.0,0.0,0.0
officehome_convnext_frozen__split08__seed1,officehome,frozen,8,1,0.0,0.0,0.0
officehome_convnext_frozen__split08__seed2,officehome,frozen,8,2,0.0,0.0,0.0
officehome_convnext_frozen__split08__seed3,officehome,frozen,8,3,0.0,0.0,0.0
officehome_convnext_frozen__split08__seed4,officehome,frozen,8,4,0.025898605330860698,0.0,0.025898605330860698
officehome_convnext_frozen__split09__seed0,officehome,frozen,9,0,0.06140448271502395,0.0,0.06140448271502395
officehome_convnext_frozen__split09__seed1,officehome,frozen,9,1,0.1428390701353738,0.0,0.1428390701353738
officehome_convnext_frozen__split09__seed2,officehome,frozen,9,2,0.06562404742156752,0.0,0.06562404742156752
officehome_convnext_frozen__split09__seed3,officehome,frozen,9,3,0.0,0.0,0.0
officehome_convnext_frozen__split09__seed4,officehome,frozen,9,4,0.0,0.0,0.0
officehome_convnext_full__split00__seed0,officehome,full,0,0,0.006479711168163899,0.0,0.006479711168163899
officehome_convnext_full__split00__seed1,officehome,full,0,1,0.005518597961300137,0.0,0.005518597961300137
officehome_convnext_full__split00__seed2,officehome,full,0,2,0.005669942392031113,0.0,0.005669942392031113
officehome_convnext_full__split00__seed3,officehome,full,0,3,0.1430744369425822,0.0,0.1430744369425822
officehome_convnext_full__split00__seed4,officehome,full,0,4,0.07408752387705489,0.0,0.07408752387705489
officehome_convnext_full__split01__seed0,officehome,full,1,0,0.08424854590934609,0.0,0.08424854590934609
officehome_convnext_full__split01__seed1,officehome,full,1,1,0.08731253060325736,0.0,0.08731253060325736
officehome_convnext_full__split01__seed2,officehome,full,1,2,0.005371376792213958,0.0,0.005371376792213958
officehome_convnext_full__split01__seed3,officehome,full,1,3,0.005255111026929743,0.0,0.005255111026929743
officehome_convnext_full__split01__seed4,officehome,full,1,4,0.0063274471683406885,0.0,0.0063274471683406885
officehome_convnext_full__split02__seed0,officehome,full,2,0,0.0066144904540936245,0.0,0.0066144904540936245
officehome_convnext_full__split02__seed1,officehome,full,2,1,0.08352881063951495,0.0,0.08352881063951495
officehome_convnext_full__split02__seed2,officehome,full,2,2,0.007357774963095143,0.0,0.007357774963095143
officehome_convnext_full__split02__seed3,officehome,full,2,3,0.005765318804084041,0.0,0.005765318804084041
officehome_convnext_full__split02__seed4,officehome,full,2,4,0.007509179941475097,0.01041995743290805,0.017929137374383147
officehome_convnext_full__split03__seed0,officehome,full,3,0,0.1425659097793796,0.0,0.1425659097793796
officehome_convnext_full__split03__seed1,officehome,full,3,1,0.1313680270709738,0.0,0.1313680270709738
officehome_convnext_full__split03__seed2,officehome,full,3,2,0.09209422325722294,0.0,0.09209422325722294
officehome_convnext_full__split03__seed3,officehome,full,3,3,0.11866983991716755,0.0,0.11866983991716755
officehome_convnext_full__split03__seed4,officehome,full,3,4,0.113937551615588,0.0,0.113937551615588
officehome_convnext_full__split04__seed0,officehome,full,4,0,0.04411271208861281,0.0,0.04411271208861281
officehome_convnext_full__split04__seed1,officehome,full,4,1,0.005445551461736933,0.0,0.005445551461736933
officehome_convnext_full__split04__seed2,officehome,full,4,2,0.04710446202976479,0.0,0.04710446202976479
officehome_convnext_full__split04__seed3,officehome,full,4,3,0.0,0.0,0.0
officehome_convnext_full__split04__seed4,officehome,full,4,4,0.0,0.0,0.0
officehome_convnext_full__split05__seed0,officehome,full,5,0,0.0062438919350646105,0.0,0.0062438919350646105
officehome_convnext_full__split05__seed1,officehome,full,5,1,0.06990619823109187,0.0,0.06990619823109187
officehome_convnext_full__split05__seed2,officehome,full,5,2,0.09731572537387778,0.0,0.09731572537387778
officehome_convnext_full__split05__seed3,officehome,full,5,3,0.04133495942882093,0.013902965484823782,0.05523792491364471
officehome_convnext_full__split05__seed4,officehome,full,5,4,0.15983457613948102,0.0,0.15983457613948102
officehome_convnext_full__split06__seed0,officehome,full,6,0,0.0,0.0,0.0
officehome_convnext_full__split06__seed1,officehome,full,6,1,0.0,0.0,0.0
officehome_convnext_full__split06__seed2,officehome,full,6,2,0.0,0.0,0.0
officehome_convnext_full__split06__seed3,officehome,full,6,3,0.0,0.0,0.0
officehome_convnext_full__split06__seed4,officehome,full,6,4,0.005581573148639829,0.0,0.005581573148639829
officehome_convnext_full__split07__seed0,officehome,full,7,0,0.006802878408182916,0.014708402231593004,0.02151128063977592
officehome_convnext_full__split07__seed1,officehome,full,7,1,0.1597268523798752,0.0,0.1597268523798752
officehome_convnext_full__split07__seed2,officehome,full,7,2,0.0,0.0,0.0
officehome_convnext_full__split07__seed3,officehome,full,7,3,0.12139176492320679,0.0,0.12139176492320679
officehome_convnext_full__split07__seed4,officehome,full,7,4,0.026869982902808925,0.0,0.026869982902808925
officehome_convnext_full__split08__seed0,officehome,full,8,0,0.0,0.0,0.0
officehome_convnext_full__split08__seed1,officehome,full,8,1,0.0,0.0,0.0
officehome_convnext_full__split08__seed2,officehome,full,8,2,0.0,0.0,0.0
officehome_convnext_full__split08__seed3,officehome,full,8,3,0.0,0.0,0.0
officehome_convnext_full__split08__seed4,officehome,full,8,4,0.014711352487117607,0.0,0.014711352487117607
officehome_convnext_full__split09__seed0,officehome,full,9,0,0.031877907847289375,0.0,0.031877907847289375
officehome_convnext_full__split09__seed1,officehome,full,9,1,0.19763082332869766,0.0009377263337862485,0.1985685496624839
officehome_convnext_full__split09__seed2,officehome,full,9,2,0.05211826645265319,0.008610674342089203,0.06072894079474239
officehome_convnext_full__split09__seed3,officehome,full,9,3,0.1398469232895785,0.0,0.1398469232895785
officehome_convnext_full__split09__seed4,officehome,full,9,4,0.005485928056099071,0.0,0.005485928056099071
resnext29_8x64d__pathmnist_split_00__seed0__d0.5,pathmnist,d0.5,0,0,0.08062425412950752,0.0,0.08062425412950752
resnext29_8x64d__pathmnist_split_00__seed0__d5.0,pathmnist,d5,0,0,0.019179922086593748,0.0,0.019179922086593748
resnext29_8x64d__pathmnist_split_00__seed1__d0.5,pathmnist,d0.5,0,1,0.012515387217066465,0.0,0.012515387217066465
resnext29_8x64d__pathmnist_split_00__seed1__d5.0,pathmnist,d5,0,1,0.23955688380876308,0.0,0.23955688380876308
resnext29_8x64d__pathmnist_split_00__seed2__d0.5,pathmnist,d0.5,0,2,0.0454780980877284,0.0,0.0454780980877284
resnext29_8x64d__pathmnist_split_00__seed2__d5.0,pathmnist,d5,0,2,0.08777242340656688,0.0,0.08777242340656688
resnext29_8x64d__pathmnist_split_00__seed3__d0.5,pathmnist,d0.5,0,3,0.06423279166200996,0.0,0.06423279166200996
resnext29_8x64d__pathmnist_split_00__seed3__d5.0,pathmnist,d5,0,3,0.012418667983458753,0.0,0.012418667983458753
resnext29_8x64d__pathmnist_split_00__seed4__d0.5,pathmnist,d0.5,0,4,0.19459387410219353,0.0,0.19459387410219353
resnext29_8x64d__pathmnist_split_00__seed4__d5.0,pathmnist,d5,0,4,0.01178659175288399,0.0,0.01178659175288399
resnext29_8x64d__pathmnist_split_01__seed0__d0.5,pathmnist,d0.5,1,0,0.0,0.0,0.0
resnext29_8x64d__pathmnist_split_01__seed0__d5.0,pathmnist,d5,1,0,0.5118150096820842,0.0,0.5118150096820842
resnext29_8x64d__pathmnist_split_01__seed1__d0.5,pathmnist,d0.5,1,1,0.0,0.0,0.0
resnext29_8x64d__pathmnist_split_01__seed1__d5.0,pathmnist,d5,1,1,0.0,0.0,0.0
resnext29_8x64d__pathmnist_split_01__seed2__d0.5,pathmnist,d0.5,1,2,0.11518550402919615,0.0,0.11518550402919615
resnext29_8x64d__pathmnist_split_01__seed2__d5.0,pathmnist,d5,1,2,0.0,0.0,0.0
resnext29_8x64d__pathmnist_split_01__seed3__d0.5,pathmnist,d0.5,1,3,0.0,0.0,0.0
resnext29_8x64d__pathmnist_split_01__seed3__d5.0,pathmnist,d5,1,3,0.0,0.0,0.0
resnext29_8x64d__pathmnist_split_01__seed4__d0.5,pathmnist,d0.5,1,4,0.024966264735386212,0.0,0.024966264735386212
resnext29_8x64d__pathmnist_split_01__seed4__d5.0,pathmnist,d5,1,4,0.0,0.0,0.0
resnext29_8x64d__pathmnist_split_02__seed0__d0.5,pathmnist,d0.5,2,0,0.03471419486627675,0.0,0.03471419486627675
resnext29_8x64d__pathmnist_split_02__seed0__d5.0,pathmnist,d5,2,0,0.012337125240460378,0.04871703024037699,0.06105415548083737
resnext29_8x64d__pathmnist_split_02__seed1__d0.5,pathmnist,d0.5,2,1,0.012165326578843283,0.07839622019264786,0.09056154677149114
resnext29_8x64d__pathmnist_split_02__seed1__d5.0,pathmnist,d5,2,1,0.008340535347545641,0.0,0.008340535347545641
resnext29_8x64d__pathmnist_split_02__seed2__d0.5,pathmnist,d0.5,2,2,0.0,0.0,0.0
resnext29_8x64d__pathmnist_split_02__seed2__d5.0,pathmnist,d5,2,2,0.08947666559949635,0.0,0.08947666559949635
resnext29_8x64d__pathmnist_split_02__seed3__d0.5,pathmnist,d0.5,2,3,0.3939920881474064,0.0,0.3939920881474064
resnext29_8x64d__pathmnist_split_02__seed3__d5.0,pathmnist,d5,2,3,0.011795630081351094,0.0,0.011795630081351094
resnext29_8x64d__pathmnist_split_02__seed4__d0.5,pathmnist,d0.5,2,4,0.048022631987479136,0.0,0.048022631987479136
resnext29_8x64d__pathmnist_split_02__seed4__d5.0,pathmnist,d5,2,4,0.012307191022953967,0.0,0.012307191022953967
resnext29_8x64d__pathmnist_split_03__seed0__d0.5,pathmnist,d0.5,3,0,0.0,0.0,0.0
resnext29_8x64d__pathmnist_split_03__seed0__d5.0,pathmnist,d5,3,0,0.0,0.0,0.0
resnext29_8x64d__pathmnist_split_03__seed1__d0.5,pathmnist,d0.5,3,1,0.0,0.0,0.0
resnext29_8x64d__pathmnist_split_03__seed1__d5.0,pathmnist,d5,3,1,0.0,0.0,0.0
resnext29_8x64d__pathmnist_split_03__seed2__d0.5,pathmnist,d0.5,3,2,0.16947585374707913,0.0,0.16947585374707913
resnext29_8x64d__pathmnist_split_03__seed2__d5.0,pathmnist,d5,3,2,0.0,0.0,0.0
resnext29_8x64d__pathmnist_split_03__seed3__d0.5,pathmnist,d0.5,3,3,0.0,0.0,0.0
resnext29_8x64d__pathmnist_split_03__seed3__d5.0,pathmnist,d5,3,3,0.0,0.0,0.0
resnext29_8x64d__pathmnist_split_03__seed4__d0.5,pathmnist,d0.5,3,4,0.2187431630858342,0.0,0.2187431630858342
resnext29_8x64d__pathmnist_split_03__seed4__d5.0,pathmnist,d5,3,4,0.11786247058514615,0.0067997906563320165,0.12466226124147817
resnext29_8x64d__pathmnist_split_04__seed0__d0.5,pathmnist,d0.5,4,0,0.0,0.0,0.0
resnext29_8x64d__pathmnist_split_04__seed0__d5.0,pathmnist,d5,4,0,0.0,0.0,0.0
resnext29_8x64d__pathmnist_split_04__seed1__d0.5,pathmnist,d0.5,4,1,0.00867866682736168,0.0,0.00867866682736168
resnext29_8x64d__pathmnist_split_04__seed1__d5.0,pathmnist,d5,4,1,0.0,0.0,0.0
resnext29_8x64d__pathmnist_split_04__seed2__d0.5,pathmnist,d0.5,4,2,0.0,0.0,0.0
resnext29_8x64d__pathmnist_split_04__seed2__d5.0,pathmnist,d5,4,2,0.0,0.0,0.0
resnext29_8x64d__pathmnist_split_04__seed3__d0.5,pathmnist,d0.5,4,3,0.0,0.0,0.0
resnext29_8x64d__pathmnist_split_04__seed3__d5.0,pathmnist,d5,4,3,0.0,0.0,0.0
resnext29_8x64d__pathmnist_split_04__seed4__d0.5,pathmnist,d0.5,4,4,0.0,0.0,0.0
resnext29_8x64d__pathmnist_split_04__seed4__d5.0,pathmnist,d5,4,4,0.0,0.0,0.0
