semantic_id,dataset,condition,split,repetition,S_minus_B,H_minus_S,H_minus_B
cifar100_proser_fedavg__split03__seed2__d5.0,cifar100,d5,3,2,0.0,0.0,0.0
cifar100_proser_fedavg__split03__seed3__d0.1,cifar100,d0.1,3,3,0.0,0.0,0.0
cifar100_proser_fedavg__split03__seed3__d0.5,cifar100,d0.5,3,3,0.0,0.0,0.0
cifar100_proser_fedavg__split03__seed3__d5.0,cifar100,d5,3,3,0.0,0.0,0.0
cifar100_proser_fedavg__split03__seed4__d0.1,cifar100,d0.1,3,4,0.0,0.0,0.0
cifar100_proser_fedavg__split03__seed4__d0.5,cifar100,d0.5,3,4,0.0,0.0,0.0
cifar100_proser_fedavg__split03__seed4__d5.0,cifar100,d5,3,4,0.0,0.0,0.0
cifar100_proser_fedavg__split04__seed0__d0.1,cifar100,d0.1,4,0,0.0,0.0,0.0
cifar100_proser_fedavg__split04__seed0__d0.5,cifar100,d0.5,4,0,0.0,0.0,0.0
cifar100_proser_fedavg__split04__seed0__d5.0,cifar100,d5,4,0,0.04984855965327985,0.0,0.04984855965327985
cifar100_proser_fedavg__split04__seed1__d0.1,cifar100,d0.1,4,1,0.0,0.0,0.0
cifar100_proser_fedavg__split04__seed1__d0.5,cifar100,d0.5,4,1,0.03299367095597645,0.0,0.03299367095597645
cifar100_proser_fedavg__split04__seed1__d5.0,cifar100,d5,4,1,0.005433535550856919,0.0,0.005433535550856919
cifar100_proser_fedavg__split04__seed2__d0.1,cifar100,d0.1,4,2,0.0,0.0,0.0
cifar100_proser_fedavg__split04__seed2__d0.5,cifar100,d0.5,4,2,0.0,0.0,0.0
cifar100_proser_fedavg__split04__seed2__d5.0,cifar100,d5,4,2,0.0,0.0,0.0
cifar100_proser_fedavg__split04__seed3__d0.1,cifar100,d0.1,4,3,0.0,0.0,0.0
cifar100_proser_fedavg__split04__seed3__d0.5,cifar100,d0.5,4,3,0.0,0.0,0.0
cifar100_proser_fedavg__split04__seed3__d5.0,cifar100,d5,4,3,0.0,0.0,0.0
cifar100_proser_fedavg__split04__seed4__d0.1,cifar100,d0.1,4,4,0.0,0.0,0.0
cifar100_proser_fedavg__split04__seed4__d0.5,cifar100,d0.5,4,4,0.0,0.0,0.0
cifar100_proser_fedavg__split04__seed4__d5.0,cifar100,d5,4,4,0.0,0.0,0.0
cifar100_proser_fedavg__split05__seed0__d0.1,cifar100,d0.1,5,0,0.0,0.0,0.0
cifar100_proser_fedavg__split05__seed0__d0.5,cifar100,d0.5,5,0,0.0,0.0,0.0
cifar100_proser_fedavg__split05__seed0__d5.0,cifar100,d5,5,0,0.0,0.0,0.0
cifar100_proser_fedavg__split05__seed1__d0.1,cifar100,d0.1,5,1,0.0,0.0,0.0
cifar100_proser_fedavg__split05__seed1__d0.5,cifar100,d0.5,5,1,0.0,0.0,0.0
cifar100_proser_fedavg__split05__seed1__d5.0,cifar100,d5,5,1,0.05941604726528243,0.0,0.05941604726528243
cifar100_proser_fedavg__split05__seed2__d0.1,cifar100,d0.1,5,2,0.0,0.0,0.0
cifar100_proser_fedavg__split05__seed2__d0.5,cifar100,d0.5,5,2,0.0,0.0,0.0
cifar100_proser_fedavg__split05__seed2__d5.0,cifar100,d5,5,2,0.0,0.0,0.0
cifar100_proser_fedavg__split05__seed3__d0.1,cifar100,d0.1,5,3,0.0,0.0,0.0
cifar100_proser_fedavg__split05__seed3__d0.5,cifar100,d0.5,5,3,0.0,0.0,0.0
cifar100_proser_fedavg__split05__seed3__d5.0,cifar100,d5,5,3,0.0,0.0,0.0
cifar100_proser_fedavg__split05__seed4__d0.1,cifar100,d0.1,5,4,0.0,0.0,0.0
cifar100_proser_fedavg__split05__seed4__d0.5,cifar100,d0.5,5,4,0.0,0.0,0.0
cifar100_proser_fedavg__split05__seed4__d5.0,cifar100,d5,5,4,0.0,0.0,0.0
cifar100_proser_fedavg__split06__seed0__d0.1,cifar100,d0.1,6,0,0.0,0.0,0.0
cifar100_proser_fedavg__split06__seed0__d0.5,cifar100,d0.5,6,0,0.0,0.0,0.0
cifar100_proser_fedavg__split06__seed0__d5.0,cifar100,d5,6,0,0.0,0.0,0.0
cifar100_proser_fedavg__split06__seed1__d0.1,cifar100,d0.1,6,1,0.0,0.0,0.0
cifar100_proser_fedavg__split06__seed1__d0.5,cifar100,d0.5,6,1,0.0,0.0,0.0
cifar100_proser_fedavg__split06__seed1__d5.0,cifar100,d5,6,1,0.0,0.0,0.0
cifar100_proser_fedavg__split06__seed2__d0.1,cifar100,d0.1,6,2,0.0,0.0,0.0
cifar100_proser_fedavg__split06__seed2__d0.5,cifar100,d0.5,6,2,0.0740174636052026,0.0,0.0740174636052026
cifar100_proser_fedavg__split06__seed2__d5.0,cifar100,d5,6,2,0.0,0.0,0.0
cifar100_proser_fedavg__split06__seed3__d0.1,cifar100,d0.1,6,3,0.0,0.0,0.0
cifar100_proser_fedavg__split06__seed3__d0.5,cifar100,d0.5,6,3,0.0,0.0,0.0
cifar100_proser_fedavg__split06__seed3__d5.0,cifar100,d5,6,3,0.0,0.0,0.0
cifar100_proser_fedavg__split06__seed4__d0.1,cifar100,d0.1,6,4,0.0,0.0,0.0
cifar100_proser_fedavg__split06__seed4__d0.5,cifar100,d0.5,6,4,0.0,0.0,0.0
cifar100_proser_fedavg__split06__seed4__d5.0,cifar100,d5,6,4,0.0,0.0,0.0
cifar100_proser_fedavg__split07__seed0__d0.1,cifar100,d0.1,7,0,0.0,0.0,0.0
cifar100_proser_fedavg__split07__seed0__d0.5,cifar100,d0.5,7,0,0.0,0.0,0.0
cifar100_proser_fedavg__split07__seed0__d5.0,cifar100,d5,7,0,0.0,0.0,0.0
cifar100_proser_fedavg__split07__seed1__d0.1,cifar100,d0.1,7,1,0.0,0.0,0.0
cifar100_proser_fedavg__split07__seed1__d0.5,cifar100,d0.5,7,1,0.0,0.0,0.0
cifar100_proser_fedavg__split07__seed1__d5.0,cifar100,d5,7,1,0.0,0.0,0.0
cifar100_proser_fedavg__split07__seed2__d0.1,cifar100,d0.1,7,2,0.0,0.0,0.0
cifar100_proser_fedavg__split07__seed2__d0.5,cifar100,d0.5,7,2,0.0,0.0,0.0
cifar100_proser_fedavg__split07__seed2__d5.0,cifar100,d5,7,2,0.0,0.0,0.0
cifar100_proser_fedavg__split07__seed3__d0.1,cifar100,d0.1,7,3,0.0,0.0,0.0
cifar100_proser_fedavg__split07__seed3__d0.5,cifar100,d0.5,7,3,0.0,0.0,0.0
cifar100_proser_fedavg__split07__seed3__d5.0,cifar100,d5,7,3,0.0,0.0,0.0
cifar100_proser_fedavg__split07__seed4__d0.1,cifar100,d0.1,7,4,0.0,0.0,0.0
cifar100_proser_fedavg__split07__seed4__d0.5,cifar100,d0.5,7,4,0.0,0.0,0.0
cifar100_proser_fedavg__split07__seed4__d5.0,cifar100,d5,7,4,0.0,0.0,0.0
cifar100_proser_fedavg__split08__seed0__d0.1,cifar100,d0.1,8,0,0.0,0.0,0.0
cifar100_proser_fedavg__split08__seed0__d0.5,cifar100,d0.5,8,0,0.0,0.0,0.0
cifar100_proser_fedavg__split08__seed0__d5.0,cifar100,d5,8,0,0.0,0.0,0.0
cifar100_proser_fedavg__split08__seed1__d0.1,cifar100,d0.1,8,1,0.0,0.0,0.0
cifar100_proser_fedavg__split08__seed1__d0.5,cifar100,d0.5,8,1,0.0,0.0,0.0
cifar100_proser_fedavg__split08__seed1__d5.0,cifar100,d5,8,1,0.0,0.0,0.0
cifar100_proser_fedavg__split08__seed2__d0.1,cifar100,d0.1,8,2,0.0,0.0,0.0
cifar100_proser_fedavg__split08__seed2__d0.5,cifar100,d0.5,8,2,0.0,0.0,0.0
cifar100_proser_fedavg__split08__seed2__d5.0,cifar100,d5,8,2,0.0,0.0,0.0
cifar100_proser_fedavg__split08__seed3__d0.1,cifar100,d0.1,8,3,0.0,0.0,0.0
cifar100_proser_fedavg__split08__seed3__d0.5,cifar100,d0.5,8,3,0.0,0.0,0.0
cifar100_proser_fedavg__split08__seed3__d5.0,cifar100,d5,8,3,0.0,0.0,0.0
cifar100_proser_fedavg__split08__seed4__d0.1,cifar100,d0.1,8,4,0.0,0.0,0.0
cifar100_proser_fedavg__split08__seed4__d0.5,cifar100,d0.5,8,4,0.0,0.0,0.0
cifar100_proser_fedavg__split08__seed4__d5.0,cifar100,d5,8,4,0.0,0.0,0.0
cifar100_proser_fedavg__split09__seed0__d0.1,cifar100,d0.1,9,0,0.0,0.0,0.0
cifar100_proser_fedavg__split09__seed0__d0.5,cifar100,d0.5,9,0,0.0,0.0,0.0
cifar100_proser_fedavg__split09__seed0__d5.0,cifar100,d5,9,0,0.0,0.0,0.0
cifar100_proser_fedavg__split09__seed1__d0.1,cifar100,d0.1,9,1,0.0,0.0,0.0
cifar100_proser_fedavg__split09__seed1__d0.5,cifar100,d0.5,9,1,0.0,0.0,0.0
cifar100_proser_fedavg__split09__seed1__d5.0,cifar100,d5,9,1,0.0,0.0,0.0
cifar100_proser_fedavg__split09__seed2__d0.1,cifar100,d0.1,9,2,0.0,0.0,0.0
cifar100_proser_fedavg__split09__seed2__d0.5,cifar100,d0.5,9,2,0.0,0.0,0.0
cifar100_proser_fedavg__split09__seed2__d5.0,cifar100,d5,9,2,0.0,0.0,0.0
cifar100_proser_fedavg__split09__seed3__d0.1,cifar100,d0.1,9,3,0.0,0.0,0.0
cifar100_proser_fedavg__split09__seed3__d0.5,cifar100,d0.5,9,3,0.0,0.0,0.0
cifar100_proser_fedavg__split09__seed3__d5.0,cifar100,d5,9,3,0.0,0.0,0.0
cifar100_proser_fedavg__split09__seed4__d0.1,cifar100,d0.1,9,4,0.0,0.0,0.0
cifar100_proser_fedavg__split09__seed4__d0.5,cifar100,d0.5,9,4,0.0,0.0,0.0
cifar100_proser_fedavg__split09__seed4__d5.0,cifar100,d5,9,4,0.0,0.0,0.0
cifar10_proser_fedavg__split00__seed0__d0.1,cifar10,d0.1,0,0,0.0,0.0,0.0
cifar10_proser_fedavg__split00__seed0__d0.5,cifar10,d0.5,0,0,0.0,0.0,0.0
cifar10_proser_fedavg__split00__seed0__d5.0,cifar10,d5,0,0,0.0,0.0,0.0
cifar10_proser_fedavg__split00__seed1__d0.1,cifar10,d0.1,0,1,0.0,0.0,0.0
cifar10_proser_fedavg__split00__seed1__d0.5,cifar10,d0.5,0,1,0.2529938396411718,0.0,0.2529938396411718
cifar10_proser_fedavg__split00__seed1__d5.0,cifar10,d5,0,1,0.009488023381153232,0.0,0.009488023381153232
cifar10_proser_fedavg__split00__seed2__d0.1,cifar10,d0.1,0,2,0.0,0.0,0.0
cifar10_proser_fedavg__split00__seed2__d0.5,cifar10,d0.5,0,2,0.13075565521233237,0.0,0.13075565521233237
cifar10_proser_fedavg__split00__seed2__d5.0,cifar10,d5,0,2,0.008834392222320325,0.0,0.008834392222320325
cifar10_proser_fedavg__split00__seed3__d0.1,cifar10,d0.1,0,3,0.0,0.0,0.0
cifar10_proser_fedavg__split00__seed3__d0.5,cifar10,d0.5,0,3,0.0,0.0,0.0
cifar10_proser_fedavg__split00__seed3__d5.0,cifar10,d5,0,3,0.0,0.0,0.0
cifar10_proser_fedavg__split00__seed4__d0.1,cifar10,d0.1,0,4,0.0,0.0,0.0
cifar10_proser_fedavg__split00__seed4__d0.5,cifar10,d0.5,0,4,0.0,0.0,0.0
cifar10_proser_fedavg__split00__seed4__d5.0,cifar10,d5,0,4,0.0,0.0,0.0
cifar10_proser_fedavg__split01__seed0__d0.1,cifar10,d0.1,1,0,0.0,0.0,0.0
cifar10_proser_fedavg__split01__seed0__d0.5,cifar10,d0.5,1,0,0.0,0.0,0.0
cifar10_proser_fedavg__split01__seed0__d5.0,cifar10,d5,1,0,0.028899001095853027,0.0,0.028899001095853027
cifar10_proser_fedavg__split01__seed1__d0.1,cifar10,d0.1,1,1,0.1682881481006248,0.0,0.1682881481006248
cifar10_proser_fedavg__split01__seed1__d0.5,cifar10,d0.5,1,1,0.010463012542966721,0.05882728919425001,0.06929030173721673
cifar10_proser_fedavg__split01__seed1__d5.0,cifar10,d5,1,1,0.015717475581269236,0.0,0.015717475581269236
cifar10_proser_fedavg__split01__seed2__d0.1,cifar10,d0.1,1,2,0.0,0.0,0.0
cifar10_proser_fedavg__split01__seed2__d0.5,cifar10,d0.5,1,2,0.01076103204886375,0.0019039507256624622,0.012664982774526212
cifar10_proser_fedavg__split01__seed2__d5.0,cifar10,d5,1,2,0.02487537445418503,0.0,0.02487537445418503
cifar10_proser_fedavg__split01__seed3__d0.1,cifar10,d0.1,1,3,0.0,0.0,0.0
cifar10_proser_fedavg__split01__seed3__d0.5,cifar10,d0.5,1,3,0.007664244900525058,0.0,0.007664244900525058
cifar10_proser_fedavg__split01__seed3__d5.0,cifar10,d5,1,3,0.05783740120844466,0.0,0.05783740120844466
cifar10_proser_fedavg__split01__seed4__d0.1,cifar10,d0.1,1,4,0.0058946683714724,0.0,0.0058946683714724
cifar10_proser_fedavg__split01__seed4__d0.5,cifar10,d0.5,1,4,0.1541841332424807,0.0,0.1541841332424807
cifar10_proser_fedavg__split01__seed4__d5.0,cifar10,d5,1,4,0.014946238699665992,0.0,0.014946238699665992
cifar10_proser_fedavg__split02__seed0__d0.1,cifar10,d0.1,2,0,0.0,0.0,0.0
cifar10_proser_fedavg__split02__seed0__d0.5,cifar10,d0.5,2,0,0.0,0.0,0.0
cifar10_proser_fedavg__split02__seed0__d5.0,cifar10,d5,2,0,0.0,0.0,0.0
cifar10_proser_fedavg__split02__seed1__d0.1,cifar10,d0.1,2,1,0.0,0.0,0.0
cifar10_proser_fedavg__split02__seed1__d0.5,cifar10,d0.5,2,1,0.0,0.0,0.0
cifar10_proser_fedavg__split02__seed1__d5.0,cifar10,d5,2,1,0.0,0.0,0.0
cifar10_proser_fedavg__split02__seed2__d0.1,cifar10,d0.1,2,2,0.0,0.0,0.0
